Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_connectionclosecount_average;azure_connectionclosecount_count;azure_connectionclosecount_maximum;azure_connectionclosecount_minimum;azure_connectionclosecount_total,The count of connections closed by various reasons.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_endpoint;metadata_connectionclosecategory,total
azure_connectioncount_average;azure_connectioncount_count;azure_connectioncount_maximum;azure_connectioncount_minimum;azure_connectioncount_total,The amount of user connection.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_endpoint,maximum
azure_connectionopencount_average;azure_connectionopencount_count;azure_connectionopencount_maximum;azure_connectionopencount_minimum;azure_connectionopencount_total,The count of new connections opened.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_endpoint,total
azure_connectionquotautilization_average;azure_connectionquotautilization_count;azure_connectionquotautilization_maximum;azure_connectionquotautilization_minimum;azure_connectionquotautilization_total,The percentage of connection connected relative to connection quota.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_inboundtraffic_average;azure_inboundtraffic_count;azure_inboundtraffic_maximum;azure_inboundtraffic_minimum;azure_inboundtraffic_total,The inbound traffic of service,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_messagecount_average;azure_messagecount_count;azure_messagecount_maximum;azure_messagecount_minimum;azure_messagecount_total,The total amount of messages.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_outboundtraffic_average;azure_outboundtraffic_count;azure_outboundtraffic_maximum;azure_outboundtraffic_minimum;azure_outboundtraffic_total,The outbound traffic of service,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_serverload_average;azure_serverload_count;azure_serverload_maximum;azure_serverload_minimum;azure_serverload_total,SignalR server load.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_systemerrors_average;azure_systemerrors_count;azure_systemerrors_maximum;azure_systemerrors_minimum;azure_systemerrors_total,The percentage of system errors,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_usererrors_average;azure_usererrors_count;azure_usererrors_maximum;azure_usererrors_minimum;azure_usererrors_total,The percentage of user errors,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
