Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_reward_average;azure_reward_count;azure_reward_maximum;azure_reward_minimum;azure_reward_total,Average reward per event.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_baselineaction;metadata_chosenactionid;metadata_matchesbaseline;metadata_nondefaultreward;metadata_mode;metadata_runid,average
azure_slotfeatureidoccurrences_average;azure_slotfeatureidoccurrences_count;azure_slotfeatureidoccurrences_maximum;azure_slotfeatureidoccurrences_minimum;azure_slotfeatureidoccurrences_total,Number of times each slot feature appears.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_featureid;metadata_mode;metadata_runid,total
azure_slotfeaturesperevent_average;azure_slotfeaturesperevent_count;azure_slotfeaturesperevent_maximum;azure_slotfeaturesperevent_minimum;azure_slotfeaturesperevent_total,Average number of slot features per event.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_mode;metadata_runid,average
azure_slotidoccurrences_average;azure_slotidoccurrences_count;azure_slotidoccurrences_maximum;azure_slotidoccurrences_minimum;azure_slotidoccurrences_total,Number of times each slot appears.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_slotid;metadata_slotindex;metadata_mode;metadata_runid,total
azure_slotnamespacesperevent_average;azure_slotnamespacesperevent_count;azure_slotnamespacesperevent_maximum;azure_slotnamespacesperevent_minimum;azure_slotnamespacesperevent_total,Average number of slot namespaces per event.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_mode;metadata_runid,average
azure_slotreward_average;azure_slotreward_count;azure_slotreward_maximum;azure_slotreward_minimum;azure_slotreward_total,Reward per slot.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_baselineactionid;metadata_chosenactionid;metadata_matchesbaseline;metadata_nondefaultreward;metadata_slotid;metadata_slotindex;metadata_mode;metadata_runid,average
azure_speakerrecognitiontransactions_average;azure_speakerrecognitiontransactions_count;azure_speakerrecognitiontransactions_maximum;azure_speakerrecognitiontransactions_minimum;azure_speakerrecognitiontransactions_total,Number of speaker recognition transactions,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
azure_speechmodelhostinghours_average;azure_speechmodelhostinghours_count;azure_speechmodelhostinghours_maximum;azure_speechmodelhostinghours_minimum;azure_speechmodelhostinghours_total,Number of speech model hosting hours,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
azure_speechsessionduration_average;azure_speechsessionduration_count;azure_speechsessionduration_maximum;azure_speechsessionduration_minimum;azure_speechsessionduration_total,Total duration of speech session in seconds.,Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_operationname;metadata_region,total
azure_successfulcalls_average;azure_successfulcalls_count;azure_successfulcalls_maximum;azure_successfulcalls_minimum;azure_successfulcalls_total,Number of successful calls.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_operationname;metadata_region;metadata_ratelimitkey,total
azure_synthesizedcharacters_average;azure_synthesizedcharacters_count;azure_synthesizedcharacters_maximum;azure_synthesizedcharacters_minimum;azure_synthesizedcharacters_total,Number of Characters.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
azure_textcharacterstranslated_average;azure_textcharacterstranslated_count;azure_textcharacterstranslated_maximum;azure_textcharacterstranslated_minimum;azure_textcharacterstranslated_total,Number of characters in incoming text translation request.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
azure_textcustomcharacterstranslated_average;azure_textcustomcharacterstranslated_count;azure_textcustomcharacterstranslated_maximum;azure_textcustomcharacterstranslated_minimum;azure_textcustomcharacterstranslated_total,Number of characters in incoming custom text translation request.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
azure_tokentransaction_average;azure_tokentransaction_count;azure_tokentransaction_maximum;azure_tokentransaction_minimum;azure_tokentransaction_total,Number of Inference Tokens Processed on an OpenAI Model,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_modeldeploymentname;metadata_featurename;metadata_usagechannel;metadata_region,total
azure_totalcalls_average;azure_totalcalls_count;azure_totalcalls_maximum;azure_totalcalls_minimum;azure_totalcalls_total,Total number of calls.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_operationname;metadata_region;metadata_ratelimitkey,total
azure_totalerrors_average;azure_totalerrors_count;azure_totalerrors_maximum;azure_totalerrors_minimum;azure_totalerrors_total,Total number of calls with error response (HTTP response code 4xx or 5xx).,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_operationname;metadata_region;metadata_ratelimitkey,total
azure_totalevents_average;azure_totalevents_count;azure_totalevents_maximum;azure_totalevents_minimum;azure_totalevents_total,Number of events.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_mode;metadata_runid,total
azure_totaltokencalls_average;azure_totaltokencalls_count;azure_totaltokencalls_maximum;azure_totaltokencalls_minimum;azure_totaltokencalls_total,Total number of token calls.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_operationname;metadata_region,total
azure_totaltransactions_average;azure_totaltransactions_count;azure_totaltransactions_maximum;azure_totaltransactions_minimum;azure_totaltransactions_total,Total number of transactions.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,total
azure_userbaselineeventcount_average;azure_userbaselineeventcount_count;azure_userbaselineeventcount_maximum;azure_userbaselineeventcount_minimum;azure_userbaselineeventcount_total,Estimation for user defined baseline event count.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_mode;metadata_runid,total
azure_userbaselinereward_average;azure_userbaselinereward_count;azure_userbaselinereward_maximum;azure_userbaselinereward_minimum;azure_userbaselinereward_total,Estimation for user defined baseline reward.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_mode;metadata_runid,total
azure_voicemodelhostinghours_average;azure_voicemodelhostinghours_count;azure_voicemodelhostinghours_maximum;azure_voicemodelhostinghours_minimum;azure_voicemodelhostinghours_total,Number of Hours.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
azure_voicemodeltrainingminutes_average;azure_voicemodeltrainingminutes_count;azure_voicemodeltrainingminutes_maximum;azure_voicemodeltrainingminutes_minimum;azure_voicemodeltrainingminutes_total,Number of Minutes.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_apiname;metadata_featurename;metadata_usagechannel;metadata_region,total
