Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_volumeallocatedsize_average;azure_volumeallocatedsize_count;azure_volumeallocatedsize_maximum;azure_volumeallocatedsize_minimum;azure_volumeallocatedsize_total,The provisioned size of a volume,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_volumeconsumedsizepercentage_average;azure_volumeconsumedsizepercentage_count;azure_volumeconsumedsizepercentage_maximum;azure_volumeconsumedsizepercentage_minimum;azure_volumeconsumedsizepercentage_total,The percentage of the volume consumed including snapshots.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_volumecooltierdatareadsize_average;azure_volumecooltierdatareadsize_count;azure_volumecooltierdatareadsize_maximum;azure_volumecooltierdatareadsize_minimum;azure_volumecooltierdatareadsize_total,Data read in using GET per volume,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_volumecooltierdatawritesize_average;azure_volumecooltierdatawritesize_count;azure_volumecooltierdatawritesize_maximum;azure_volumecooltierdatawritesize_minimum;azure_volumecooltierdatawritesize_total,Data tiered out using PUT per volume,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_volumecooltiersize_average;azure_volumecooltiersize_count;azure_volumecooltiersize_maximum;azure_volumecooltiersize_minimum;azure_volumecooltiersize_total,Volume Footprint for Cool Tier,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_volumelogicalsize_average;azure_volumelogicalsize_count;azure_volumelogicalsize_maximum;azure_volumelogicalsize_minimum;azure_volumelogicalsize_total,Logical size of the volume (used bytes),Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_volumesnapshotsize_average;azure_volumesnapshotsize_count;azure_volumesnapshotsize_maximum;azure_volumesnapshotsize_minimum;azure_volumesnapshotsize_total,Size of all snapshots in volume,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_writeiops_average;azure_writeiops_count;azure_writeiops_maximum;azure_writeiops_minimum;azure_writeiops_total,Write In/out operations per second,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_writethroughput_average;azure_writethroughput_count;azure_writethroughput_maximum;azure_writethroughput_minimum;azure_writethroughput_total,Write throughput in bytes per second,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_xregionreplicationhealthy_average;azure_xregionreplicationhealthy_count;azure_xregionreplicationhealthy_maximum;azure_xregionreplicationhealthy_minimum;azure_xregionreplicationhealthy_total,"Condition of the relationship, 1 or 0.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_xregionreplicationlagtime_average;azure_xregionreplicationlagtime_count;azure_xregionreplicationlagtime_maximum;azure_xregionreplicationlagtime_minimum;azure_xregionreplicationlagtime_total,The amount of time in seconds by which the data on the mirror lags behind the source.,Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_xregionreplicationlasttransferduration_average;azure_xregionreplicationlasttransferduration_count;azure_xregionreplicationlasttransferduration_maximum;azure_xregionreplicationlasttransferduration_minimum;azure_xregionreplicationlasttransferduration_total,The amount of time in seconds it took for the last transfer to complete.,Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_xregionreplicationlasttransfersize_average;azure_xregionreplicationlasttransfersize_count;azure_xregionreplicationlasttransfersize_maximum;azure_xregionreplicationlasttransfersize_minimum;azure_xregionreplicationlasttransfersize_total,The total number of bytes transferred as part of the last transfer.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_xregionreplicationrelationshipprogress_average;azure_xregionreplicationrelationshipprogress_count;azure_xregionreplicationrelationshipprogress_maximum;azure_xregionreplicationrelationshipprogress_minimum;azure_xregionreplicationrelationshipprogress_total,Total amount of data transferred for the current transfer operation.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_xregionreplicationrelationshiptransferring_average;azure_xregionreplicationrelationshiptransferring_count;azure_xregionreplicationrelationshiptransferring_maximum;azure_xregionreplicationrelationshiptransferring_minimum;azure_xregionreplicationrelationshiptransferring_total,Whether the status of the Volume Replication is 'transferring'.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_xregionreplicationtotaltransferbytes_average;azure_xregionreplicationtotaltransferbytes_count;azure_xregionreplicationtotaltransferbytes_maximum;azure_xregionreplicationtotaltransferbytes_minimum;azure_xregionreplicationtotaltransferbytes_total,Cumulative bytes transferred for the relationship.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
