Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_ifethoutmaccontrolframes_average;azure_ifethoutmaccontrolframes_count;azure_ifethoutmaccontrolframes_maximum;azure_ifethoutmaccontrolframes_minimum;azure_ifethoutmaccontrolframes_total,MAC layer control frames sent on the interface.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifethoutmacpauseframes_average;azure_ifethoutmacpauseframes_count;azure_ifethoutmacpauseframes_maximum;azure_ifethoutmacpauseframes_minimum;azure_ifethoutmacpauseframes_total,MAC layer PAUSE frames sent on the interface.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifinbroadcastpkts_average;azure_ifinbroadcastpkts_count;azure_ifinbroadcastpkts_maximum;azure_ifinbroadcastpkts_minimum;azure_ifinbroadcastpkts_total,"The number of packets, delivered by this sub-layer to a higher (sub-)layer, that were addressed to a broadcast address at this sub-layer.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifindiscards_average;azure_ifindiscards_count;azure_ifindiscards_maximum;azure_ifindiscards_minimum;azure_ifindiscards_total,The number of inbound packets that were chosen to be discarded even though no errors had been detected to prevent their being deliverable to a higher-layer protocol.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifinerrors_average;azure_ifinerrors_count;azure_ifinerrors_maximum;azure_ifinerrors_minimum;azure_ifinerrors_total,"For packet-oriented interfaces, the number of inbound packets that contained errors preventing them from being deliverable to a higher-layer protocol.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifinfcserrors_average;azure_ifinfcserrors_count;azure_ifinfcserrors_maximum;azure_ifinfcserrors_minimum;azure_ifinfcserrors_total,"Number of received packets which had errors in the frame check sequence (FCS), i.e., framing errors.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifinmulticastpkts_average;azure_ifinmulticastpkts_count;azure_ifinmulticastpkts_maximum;azure_ifinmulticastpkts_minimum;azure_ifinmulticastpkts_total,"The number of packets, delivered by this sub-layer to a higher (sub-)layer, that were addressed to a multicast address at this sub-layer. For a MAC-layer protocol, this includes both Group and Functional addresses.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifinoctets_average;azure_ifinoctets_count;azure_ifinoctets_maximum;azure_ifinoctets_minimum;azure_ifinoctets_total,"The total number of octets received on the interface, including framing characters.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifinpkts_average;azure_ifinpkts_count;azure_ifinpkts_maximum;azure_ifinpkts_minimum;azure_ifinpkts_total,"The total number of packets received on the interface, including all unicast, multicast, broadcast and bad packets etc.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifinunicastpkts_average;azure_ifinunicastpkts_count;azure_ifinunicastpkts_maximum;azure_ifinunicastpkts_minimum;azure_ifinunicastpkts_total,"The number of packets, delivered by this sub-layer to a higher (sub-)layer, that were not addressed to a multicast or broadcast address at this sub-layer.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifoutbroadcastpkts_average;azure_ifoutbroadcastpkts_count;azure_ifoutbroadcastpkts_maximum;azure_ifoutbroadcastpkts_minimum;azure_ifoutbroadcastpkts_total,"The total number of packets that higher-level protocols requested be transmitted, and that were addressed to a broadcast address at this sub-layer, including those that were discarded or not sent.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifoutdiscards_average;azure_ifoutdiscards_count;azure_ifoutdiscards_maximum;azure_ifoutdiscards_minimum;azure_ifoutdiscards_total,The number of outbound packets that were chosen to be discarded even though no errors had been detected to prevent their being transmitted.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifouterrors_average;azure_ifouterrors_count;azure_ifouterrors_maximum;azure_ifouterrors_minimum;azure_ifouterrors_total,"For packet-oriented interfaces, the number of outbound packets that could not be transmitted because of errors.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifoutmulticastpkts_average;azure_ifoutmulticastpkts_count;azure_ifoutmulticastpkts_maximum;azure_ifoutmulticastpkts_minimum;azure_ifoutmulticastpkts_total,"The total number of packets that higher-level protocols requested be transmitted, and that were addressed to a multicast address at this sub-layer, including those that were discarded or not sent. For a MAC-layer protocol, this includes both Group and Functional addresses.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifoutoctets_average;azure_ifoutoctets_count;azure_ifoutoctets_maximum;azure_ifoutoctets_minimum;azure_ifoutoctets_total,"The total number of octets transmitted out of the interface, including framing characters.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifoutpkts_average;azure_ifoutpkts_count;azure_ifoutpkts_maximum;azure_ifoutpkts_minimum;azure_ifoutpkts_total,"The total number of packets transmitted out of the interface, including all unicast, multicast, broadcast, and bad packets etc.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_ifoutunicastpkts_average;azure_ifoutunicastpkts_count;azure_ifoutunicastpkts_maximum;azure_ifoutunicastpkts_minimum;azure_ifoutunicastpkts_total,"The total number of packets that higher-level requested be transmitted, and that were not addressed to a multicast or broadcast address at this sub-layer, including those that were discarded or not sent.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_interfaceoperstatus_average;azure_interfaceoperstatus_count;azure_interfaceoperstatus_maximum;azure_interfaceoperstatus_minimum;azure_interfaceoperstatus_total,"The current operational state of the interface. State is represented in numerical form. Up: 0, Down: 1, Lower_layer_down: 2, Testing: 3, Unknown: 4, Dormant: 5, Not_present: 6.",Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,minimum
azure_lacperrors_average;azure_lacperrors_count;azure_lacperrors_maximum;azure_lacperrors_minimum;azure_lacperrors_total,Number of LACPDU illegal packet errors.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_lacpinpkts_average;azure_lacpinpkts_count;azure_lacpinpkts_maximum;azure_lacpinpkts_minimum;azure_lacpinpkts_total,Number of LACPDUs received.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_lacpoutpkts_average;azure_lacpoutpkts_count;azure_lacpoutpkts_maximum;azure_lacpoutpkts_minimum;azure_lacpoutpkts_total,Number of LACPDUs transmitted.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_lacprxerrors_average;azure_lacprxerrors_count;azure_lacprxerrors_maximum;azure_lacprxerrors_minimum;azure_lacprxerrors_total,Number of LACPDU receive packet errors.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_lacptxerrors_average;azure_lacptxerrors_count;azure_lacptxerrors_maximum;azure_lacptxerrors_minimum;azure_lacptxerrors_total,Number of LACPDU transmit packet errors.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_lacpunknownerrors_average;azure_lacpunknownerrors_count;azure_lacpunknownerrors_maximum;azure_lacpunknownerrors_minimum;azure_lacpunknownerrors_total,Number of LACPDU unknown packet errors.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_lldpframein_average;azure_lldpframein_count;azure_lldpframein_maximum;azure_lldpframein_minimum;azure_lldpframein_total,The number of lldp frames received.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_lldpframeout_average;azure_lldpframeout_count;azure_lldpframeout_maximum;azure_lldpframeout_minimum;azure_lldpframeout_total,The number of frames transmitted out.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_lldptlvunknown_average;azure_lldptlvunknown_count;azure_lldptlvunknown_maximum;azure_lldptlvunknown_minimum;azure_lldptlvunknown_total,The number of frames received with unknown TLV.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_interfacename,average
azure_memoryavailable_average;azure_memoryavailable_count;azure_memoryavailable_maximum;azure_memoryavailable_minimum;azure_memoryavailable_total,"The available memory physically installed, or logically allocated to the component.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_componentname,average
azure_memoryutilized_average;azure_memoryutilized_count;azure_memoryutilized_maximum;azure_memoryutilized_minimum;azure_memoryutilized_total,"The memory currently in use by processes running on the component, not considering reserved memory that is not available for use.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_componentname,average
azure_powersupplycapacity_average;azure_powersupplycapacity_count;azure_powersupplycapacity_maximum;azure_powersupplycapacity_minimum;azure_powersupplycapacity_total,Maximum power capacity of the power supply (watts).,Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_componentname,average
azure_powersupplyinputcurrent_average;azure_powersupplyinputcurrent_count;azure_powersupplyinputcurrent_maximum;azure_powersupplyinputcurrent_minimum;azure_powersupplyinputcurrent_total,The input current draw of the power supply (amps).,Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_componentname,average
azure_powersupplyinputvoltage_average;azure_powersupplyinputvoltage_count;azure_powersupplyinputvoltage_maximum;azure_powersupplyinputvoltage_minimum;azure_powersupplyinputvoltage_total,Input voltage to the power supply (volts).,Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_componentname,average
azure_powersupplyoutputcurrent_average;azure_powersupplyoutputcurrent_count;azure_powersupplyoutputcurrent_maximum;azure_powersupplyoutputcurrent_minimum;azure_powersupplyoutputcurrent_total,The output current supplied by the power supply (amps),Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_componentname,average
azure_powersupplyoutputpower_average;azure_powersupplyoutputpower_count;azure_powersupplyoutputpower_maximum;azure_powersupplyoutputpower_minimum;azure_powersupplyoutputpower_total,Output power supplied by the power supply (watts),Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_componentname,average
azure_powersupplyoutputvoltage_average;azure_powersupplyoutputvoltage_count;azure_powersupplyoutputvoltage_maximum;azure_powersupplyoutputvoltage_minimum;azure_powersupplyoutputvoltage_total,Output voltage supplied by the power supply (volts).,Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_componentname,average
azure_temperaturemax_average;azure_temperaturemax_count;azure_temperaturemax_maximum;azure_temperaturemax_minimum;azure_temperaturemax_total,Max temperature in degrees Celsius of the component. The maximum value of the statistic over the sampling period.,Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_fabricid;metadata_regionname;metadata_componentname,average
