Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_objectsoperatedcount_average;azure_objectsoperatedcount_count;azure_objectsoperatedcount_maximum;azure_objectsoperatedcount_minimum;azure_objectsoperatedcount_total,The number of objects operated in storage task,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_accountname;metadata_taskassignmentid,total
azure_objectsoperationfailedcount_average;azure_objectsoperationfailedcount_count;azure_objectsoperationfailedcount_maximum;azure_objectsoperationfailedcount_minimum;azure_objectsoperationfailedcount_total,The number of objects failed in storage task,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_accountname;metadata_taskassignmentid,total
azure_objectstargetedcount_average;azure_objectstargetedcount_count;azure_objectstargetedcount_maximum;azure_objectstargetedcount_minimum;azure_objectstargetedcount_total,The number of objects targeted in storage task,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_accountname;metadata_taskassignmentid,total
