Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_volumepoolallocatedsize_average;azure_volumepoolallocatedsize_count;azure_volumepoolallocatedsize_maximum;azure_volumepoolallocatedsize_minimum;azure_volumepoolallocatedsize_total,Provisioned size of this pool,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_volumepoolallocatedtovolumethroughput_average;azure_volumepoolallocatedtovolumethroughput_count;azure_volumepoolallocatedtovolumethroughput_maximum;azure_volumepoolallocatedtovolumethroughput_minimum;azure_volumepoolallocatedtovolumethroughput_total,Sum of the throughput of all the volumes belonging to the pool,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_volumepoolallocatedused_average;azure_volumepoolallocatedused_count;azure_volumepoolallocatedused_maximum;azure_volumepoolallocatedused_minimum;azure_volumepoolallocatedused_total,Allocated used size of the pool,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_volumepoolprovisionedthroughput_average;azure_volumepoolprovisionedthroughput_count;azure_volumepoolprovisionedthroughput_maximum;azure_volumepoolprovisionedthroughput_minimum;azure_volumepoolprovisionedthroughput_total,Provisioned throughput of this pool,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_volumepooltotallogicalsize_average;azure_volumepooltotallogicalsize_count;azure_volumepooltotallogicalsize_maximum;azure_volumepooltotallogicalsize_minimum;azure_volumepooltotallogicalsize_total,Sum of the logical size of all the volumes belonging to the pool,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_volumepooltotalsnapshotsize_average;azure_volumepooltotalsnapshotsize_count;azure_volumepooltotalsnapshotsize_maximum;azure_volumepooltotalsnapshotsize_minimum;azure_volumepooltotalsnapshotsize_total,Sum of snapshot size of all volumes in this pool,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
