Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_failedruns_average;azure_failedruns_count;azure_failedruns_maximum;azure_failedruns_minimum;azure_failedruns_total,Failed Runs,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_pipelinename;metadata_activityname,total
azure_successfulruns_average;azure_successfulruns_count;azure_successfulruns_maximum;azure_successfulruns_minimum;azure_successfulruns_total,Successful Runs,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_pipelinename;metadata_activityname,total
