Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_forwardingrulecount_average;azure_forwardingrulecount_count;azure_forwardingrulecount_maximum;azure_forwardingrulecount_minimum;azure_forwardingrulecount_total,This metric indicates the number of forwarding rules present in each DNS forwarding ruleset.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
azure_virtualnetworklinkcount_average;azure_virtualnetworklinkcount_count;azure_virtualnetworklinkcount_maximum;azure_virtualnetworklinkcount_minimum;azure_virtualnetworklinkcount_total,This metric indicates the number of associated virtual network links to a DNS forwarding ruleset.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,maximum
