Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_count_average;azure_count_count;azure_count_maximum;azure_count_minimum;azure_count_total,Flow Records Processed by ATC.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_roleinstance,total
azure_usage_active_average;azure_usage_active_count;azure_usage_active_maximum;azure_usage_active_minimum;azure_usage_active_total,CPU Usage Percentage.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_hostname,average
azure_used_percent_average;azure_used_percent_count;azure_used_percent_maximum;azure_used_percent_minimum;azure_used_percent_total,Memory Usage Percentage.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_hostname,average
