Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_totalcapacityavailable_average;azure_totalcapacityavailable_count;azure_totalcapacityavailable_maximum;azure_totalcapacityavailable_minimum;azure_totalcapacityavailable_total,The total capacity available in lustre file system,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_filesystem_name;metadata_category;metadata_system,average
azure_totalcapacityused_average;azure_totalcapacityused_count;azure_totalcapacityused_maximum;azure_totalcapacityused_minimum;azure_totalcapacityused_total,The total capacity used in lustre file system,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_filesystem_name;metadata_category;metadata_system,average
azure_totalread_average;azure_totalread_count;azure_totalread_maximum;azure_totalread_minimum;azure_totalread_total,The total lustre file system read per second,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_filesystem_name;metadata_category;metadata_system,average
azure_totalwrite_average;azure_totalwrite_count;azure_totalwrite_maximum;azure_totalwrite_minimum;azure_totalwrite_total,The total lustre file system write per second,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_filesystem_name;metadata_category;metadata_system,average
