Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_capacitylatest_average;azure_capacitylatest_count;azure_capacitylatest_maximum;azure_capacitylatest_minimum;azure_capacitylatest_total,The total capacity of disk in the datastore,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_dsname,average
azure_diskusedpercentage_average;azure_diskusedpercentage_count;azure_diskusedpercentage_maximum;azure_diskusedpercentage_minimum;azure_diskusedpercentage_total,Percent of available disk used in Datastore,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_dsname,average
azure_effectivecpuaverage_average;azure_effectivecpuaverage_count;azure_effectivecpuaverage_maximum;azure_effectivecpuaverage_minimum;azure_effectivecpuaverage_total,Percentage of Used CPU resources in Cluster,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_clustername,average
azure_effectivememaverage_average;azure_effectivememaverage_count;azure_effectivememaverage_maximum;azure_effectivememaverage_minimum;azure_effectivememaverage_total,Total available amount of machine memory in cluster,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_clustername,average
azure_overheadaverage_average;azure_overheadaverage_count;azure_overheadaverage_maximum;azure_overheadaverage_minimum;azure_overheadaverage_total,Host physical memory consumed by the virtualization infrastructure,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_clustername,average
azure_totalmbaverage_average;azure_totalmbaverage_count;azure_totalmbaverage_maximum;azure_totalmbaverage_minimum;azure_totalmbaverage_total,Total memory in cluster,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_clustername,average
azure_usageaverage_average;azure_usageaverage_count;azure_usageaverage_maximum;azure_usageaverage_minimum;azure_usageaverage_total,Memory usage as percentage of total configured or available memory,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_clustername,average
azure_usedlatest_average;azure_usedlatest_count;azure_usedlatest_maximum;azure_usedlatest_minimum;azure_usedlatest_total,The total amount of disk used in the datastore,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_dsname,average
