Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_hostmemavailbytes_average;azure_hostmemavailbytes_count;azure_hostmemavailbytes_maximum;azure_hostmemavailbytes_minimum;azure_hostmemavailbytes_total,Available memory in bytes by node,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_host,average
azure_hostmemhwcorruptedbytes_average;azure_hostmemhwcorruptedbytes_count;azure_hostmemhwcorruptedbytes_maximum;azure_hostmemhwcorruptedbytes_minimum;azure_hostmemhwcorruptedbytes_total,Corrupted bytes in hardware by node,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_host,average
azure_hostmemtotalbytes_average;azure_hostmemtotalbytes_count;azure_hostmemtotalbytes_maximum;azure_hostmemtotalbytes_minimum;azure_hostmemtotalbytes_total,Total bytes of memory by node,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_host,average
azure_hostspecificcpuutilization_average;azure_hostspecificcpuutilization_count;azure_hostspecificcpuutilization_maximum;azure_hostspecificcpuutilization_minimum;azure_hostspecificcpuutilization_total,A counter metric that counts the number of seconds the CPU has been running in a particular mode,Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_cpu;metadata_host;metadata_mode,average
azure_idracpowercapacitywatts_average;azure_idracpowercapacitywatts_count;azure_idracpowercapacitywatts_maximum;azure_idracpowercapacitywatts_minimum;azure_idracpowercapacitywatts_total,Power Capacity,Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_host;metadata_psu,average
azure_idracpowerinputwatts_average;azure_idracpowerinputwatts_count;azure_idracpowerinputwatts_maximum;azure_idracpowerinputwatts_minimum;azure_idracpowerinputwatts_total,Power Input,Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_host;metadata_psu,average
azure_idracpoweron_average;azure_idracpoweron_count;azure_idracpoweron_maximum;azure_idracpoweron_minimum;azure_idracpoweron_total,IDRAC Power On Status,Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_host,count
azure_idracpoweroutputwatts_average;azure_idracpoweroutputwatts_count;azure_idracpoweroutputwatts_maximum;azure_idracpoweroutputwatts_minimum;azure_idracpoweroutputwatts_total,Power Output,Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_host;metadata_psu,average
azure_idracsensorstemperature_average;azure_idracsensorstemperature_count;azure_idracsensorstemperature_maximum;azure_idracsensorstemperature_minimum;azure_idracsensorstemperature_total,IDRAC sensor temperature,Unspecified,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_host;metadata_name;metadata_units,average
azure_ncnodenetworkreceiveerrstotal_average;azure_ncnodenetworkreceiveerrstotal_count;azure_ncnodenetworkreceiveerrstotal_maximum;azure_ncnodenetworkreceiveerrstotal_minimum;azure_ncnodenetworkreceiveerrstotal_total,Total network device errors received,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_hostname;metadata_interface name,average
