Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_latency_average;azure_latency_count;azure_latency_maximum;azure_latency_minimum;azure_latency_total,Latency data for all requests to Azure Resource Manager,Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_iscustomeroriginated;metadata_method;metadata_namespace;metadata_requestregion;metadata_resourcetype;metadata_statuscode;metadata_statuscodeclass;metadata_microsoft.subscriptionid,average
azure_traffic_average;azure_traffic_count;azure_traffic_maximum;azure_traffic_minimum;azure_traffic_total,Traffic data for all requests to Azure Resource Manager,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_iscustomeroriginated;metadata_method;metadata_namespace;metadata_requestregion;metadata_resourcetype;metadata_statuscode;metadata_statuscodeclass;metadata_microsoft.subscriptionid,count
