Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_outedgesitebroadcastpkts_average;azure_outedgesitebroadcastpkts_count;azure_outedgesitebroadcastpkts_maximum;azure_outedgesitebroadcastpkts_minimum;azure_outedgesitebroadcastpkts_total,Egress Edge Site Broadcast Packet Count for the L2 connection,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_outedgesitebytes_average;azure_outedgesitebytes_count;azure_outedgesitebytes_maximum;azure_outedgesitebytes_minimum;azure_outedgesitebytes_total,Egress Edge Site Byte Count for the L2 connection,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_outedgesitediscards_average;azure_outedgesitediscards_count;azure_outedgesitediscards_maximum;azure_outedgesitediscards_minimum;azure_outedgesitediscards_total,Egress Edge Site Packet Discard Count for the L2 connection,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_outedgesitemulticastpkts_average;azure_outedgesitemulticastpkts_count;azure_outedgesitemulticastpkts_maximum;azure_outedgesitemulticastpkts_minimum;azure_outedgesitemulticastpkts_total,Egress Edge Site Multicast Packet Count for the L2 connection,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_outedgesitepkterrors_average;azure_outedgesitepkterrors_count;azure_outedgesitepkterrors_maximum;azure_outedgesitepkterrors_minimum;azure_outedgesitepkterrors_total,Egress Edge Site Packet Error Count for the L2 connection,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_outedgesitepktsrate_average;azure_outedgesitepktsrate_count;azure_outedgesitepktsrate_maximum;azure_outedgesitepktsrate_minimum;azure_outedgesitepktsrate_total,Egress Edge Site Packet Rate for the L2 connection,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_outedgesiteunicastpkts_average;azure_outedgesiteunicastpkts_count;azure_outedgesiteunicastpkts_maximum;azure_outedgesiteunicastpkts_minimum;azure_outedgesiteunicastpkts_total,Egress Edge Site Unicast Packet Count for the L2 connection,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_outgroundstationbitsrate_average;azure_outgroundstationbitsrate_count;azure_outgroundstationbitsrate_maximum;azure_outgroundstationbitsrate_minimum;azure_outgroundstationbitsrate_total,Egress Ground Station Bit Rate for the L2 connection,BitsPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_outgroundstationbroadcastpkts_average;azure_outgroundstationbroadcastpkts_count;azure_outgroundstationbroadcastpkts_maximum;azure_outgroundstationbroadcastpkts_minimum;azure_outgroundstationbroadcastpkts_total,Egress Ground Station Broadcast Packet Count for the L2 connection,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_outgroundstationbytes_average;azure_outgroundstationbytes_count;azure_outgroundstationbytes_maximum;azure_outgroundstationbytes_minimum;azure_outgroundstationbytes_total,Egress Ground Station Byte Count for the L2 connection,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_outgroundstationdiscards_average;azure_outgroundstationdiscards_count;azure_outgroundstationdiscards_maximum;azure_outgroundstationdiscards_minimum;azure_outgroundstationdiscards_total,Egress Ground Station Packet Discard Count for the L2 connection,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_outgroundstationmulticastpkts_average;azure_outgroundstationmulticastpkts_count;azure_outgroundstationmulticastpkts_maximum;azure_outgroundstationmulticastpkts_minimum;azure_outgroundstationmulticastpkts_total,Egress Ground Station Multicast Packet Count for the L2 connection,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_outgroundstationpkterrors_average;azure_outgroundstationpkterrors_count;azure_outgroundstationpkterrors_maximum;azure_outgroundstationpkterrors_minimum;azure_outgroundstationpkterrors_total,Egress Ground Station Packet Error Count for the L2 connection,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_outgroundstationpktsrate_average;azure_outgroundstationpktsrate_count;azure_outgroundstationpktsrate_maximum;azure_outgroundstationpktsrate_minimum;azure_outgroundstationpktsrate_total,Egress Ground Station Packet Rate for the L2 connection,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_outgroundstationunicastpkts_average;azure_outgroundstationunicastpkts_count;azure_outgroundstationunicastpkts_maximum;azure_outgroundstationunicastpkts_minimum;azure_outgroundstationunicastpkts_total,Egress Ground Station Unicast Packet Count for the L2 connection,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
