Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_failedrequests_average;azure_failedrequests_count;azure_failedrequests_maximum;azure_failedrequests_minimum;azure_failedrequests_total,Gets the available logs for Custom Resource Providers,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_httpmethod;metadata_callpath;metadata_statuscode,total
azure_successfullrequests_average;azure_successfullrequests_count;azure_successfullrequests_maximum;azure_successfullrequests_minimum;azure_successfullrequests_total,Successful requests made by the custom provider,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_httpmethod;metadata_callpath;metadata_statuscode,total
