Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_backendhealthpercentage_average;azure_backendhealthpercentage_count;azure_backendhealthpercentage_maximum;azure_backendhealthpercentage_minimum;azure_backendhealthpercentage_total,The percentage of successful health probes from the HTTP/S proxy to backends,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_backend;metadata_backendpool,average
azure_backendrequestcount_average;azure_backendrequestcount_count;azure_backendrequestcount_maximum;azure_backendrequestcount_minimum;azure_backendrequestcount_total,The number of requests sent from the HTTP/S proxy to backends,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_httpstatus;metadata_httpstatusgroup;metadata_backend,total
azure_backendrequestlatency_average;azure_backendrequestlatency_count;azure_backendrequestlatency_maximum;azure_backendrequestlatency_minimum;azure_backendrequestlatency_total,The time calculated from when the request was sent by the HTTP/S proxy to the backend until the HTTP/S proxy received the last response byte from the backend,MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_backend,average
azure_billableresponsesize_average;azure_billableresponsesize_count;azure_billableresponsesize_maximum;azure_billableresponsesize_minimum;azure_billableresponsesize_total,The number of billable bytes (minimum 2KB per request) sent as responses from HTTP/S proxy to clients.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_httpstatus;metadata_httpstatusgroup;metadata_clientregion;metadata_clientcountry,total
azure_requestcount_average;azure_requestcount_count;azure_requestcount_maximum;azure_requestcount_minimum;azure_requestcount_total,The number of client requests served by the HTTP/S proxy,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_httpstatus;metadata_httpstatusgroup;metadata_clientregion;metadata_clientcountry,total
azure_requestsize_average;azure_requestsize_count;azure_requestsize_maximum;azure_requestsize_minimum;azure_requestsize_total,The number of bytes sent as requests from clients to the HTTP/S proxy,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_httpstatus;metadata_httpstatusgroup;metadata_clientregion;metadata_clientcountry,total
azure_responsesize_average;azure_responsesize_count;azure_responsesize_maximum;azure_responsesize_minimum;azure_responsesize_total,The number of bytes sent as responses from HTTP/S proxy to clients,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_httpstatus;metadata_httpstatusgroup;metadata_clientregion;metadata_clientcountry,total
azure_totallatency_average;azure_totallatency_count;azure_totallatency_maximum;azure_totallatency_minimum;azure_totallatency_total,The time calculated from when the client request was received by the HTTP/S proxy until the client acknowledged the last response byte from the HTTP/S proxy,MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_httpstatus;metadata_httpstatusgroup;metadata_clientregion;metadata_clientcountry,average
azure_webapplicationfirewallrequestcount_average;azure_webapplicationfirewallrequestcount_count;azure_webapplicationfirewallrequestcount_maximum;azure_webapplicationfirewallrequestcount_minimum;azure_webapplicationfirewallrequestcount_total,The number of client requests processed by the Web Application Firewall,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_policyname;metadata_rulename;metadata_action,total
