Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_cpuusage_average;azure_cpuusage_count;azure_cpuusage_maximum;azure_cpuusage_minimum;azure_cpuusage_total,CPU usage on all cores in millicores.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_containername,average
azure_memoryusage_average;azure_memoryusage_count;azure_memoryusage_maximum;azure_memoryusage_minimum;azure_memoryusage_total,Total memory usage in byte.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_containername,average
azure_networkbytesreceivedpersecond_average;azure_networkbytesreceivedpersecond_count;azure_networkbytesreceivedpersecond_maximum;azure_networkbytesreceivedpersecond_minimum;azure_networkbytesreceivedpersecond_total,The network bytes received per second.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_networkbytestransmittedpersecond_average;azure_networkbytestransmittedpersecond_count;azure_networkbytestransmittedpersecond_maximum;azure_networkbytestransmittedpersecond_minimum;azure_networkbytestransmittedpersecond_total,The network bytes transmitted per second.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
