azure_disk_read_bytes/sec_average;azure_disk_read_bytes/sec_count;azure_disk_read_bytes/sec_maximum;azure_disk_read_bytes/sec_minimum;azure_disk_read_bytes/sec_total,Gauge,BytesPerSecond,Average bytes read from disk during monitoring period.,
azure_disk_read_operations/sec_average;azure_disk_read_operations/sec_count;azure_disk_read_operations/sec_maximum;azure_disk_read_operations/sec_minimum;azure_disk_read_operations/sec_total,Gauge,CountPerSecond,Disk Read IOPS.,
azure_disk_write_bytes/sec_average;azure_disk_write_bytes/sec_count;azure_disk_write_bytes/sec_maximum;azure_disk_write_bytes/sec_minimum;azure_disk_write_bytes/sec_total,Gauge,BytesPerSecond,Average bytes written to disk during monitoring period.,
azure_disk_write_operations/sec_average;azure_disk_write_operations/sec_count;azure_disk_write_operations/sec_maximum;azure_disk_write_operations/sec_minimum;azure_disk_write_operations/sec_total,Gauge,CountPerSecond,Disk Write IOPS.,
azure_network_in_average;azure_network_in_count;azure_network_in_maximum;azure_network_in_minimum;azure_network_in_total,Gauge,Bytes,The number of bytes received on all network interfaces by the Virtual Machine(s) (Incoming Traffic).,
azure_network_out_average;azure_network_out_count;azure_network_out_maximum;azure_network_out_minimum;azure_network_out_total,Gauge,Bytes,The number of bytes out on all network interfaces by the Virtual Machine(s) (Outgoing Traffic).,
azure_percentage_cpu_average;azure_percentage_cpu_count;azure_percentage_cpu_maximum;azure_percentage_cpu_minimum;azure_percentage_cpu_total,Gauge,Percent,The percentage of allocated compute units that are currently in use by the Virtual Machine(s).,
