Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_cpupercent_average;azure_cpupercent_count;azure_cpupercent_maximum;azure_cpupercent_minimum;azure_cpupercent_total,CPU percentPercent CPU utilization on node,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_servername,average
azure_memorypercent_average;azure_memorypercent_count;azure_memorypercent_maximum;azure_memorypercent_minimum;azure_memorypercent_total,Memory percentPercent memory utilization on node,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_servername,average
azure_committedmemorypercent_average;azure_committedmemorypercent_count;azure_committedmemorypercent_maximum;azure_committedmemorypercent_minimum;azure_committedmemorypercent_total,Committed Memory percentPercentage of Commit Memory Limit allocated by applications on node,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_servername,average
azure_iops_average;azure_iops_count;azure_iops_maximum;azure_iops_minimum;azure_iops_total,IOPSDisk IO operations per second on node,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_servername,average
azure_storagepercent_average;azure_storagepercent_count;azure_storagepercent_maximum;azure_storagepercent_minimum;azure_storagepercent_total,Storage percentPercent of available storage used on node,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_servername,average
azure_storageused_average;azure_storageused_count;azure_storageused_maximum;azure_storageused_minimum;azure_storageused_total,Storage usedQuantity of available storage used on node,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_servername,average
