Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_jobrunscanthroughputitems_average;azure_jobrunscanthroughputitems_count;azure_jobrunscanthroughputitems_maximum;azure_jobrunscanthroughputitems_minimum;azure_jobrunscanthroughputitems_total,Job Run scan throughput in items/sec,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_jobrunname,average
azure_jobruntransferthroughputbytes_average;azure_jobruntransferthroughputbytes_count;azure_jobruntransferthroughputbytes_maximum;azure_jobruntransferthroughputbytes_minimum;azure_jobruntransferthroughputbytes_total,Job Run transfer throughput in bytes/sec,BytesPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_jobrunname,average
azure_jobruntransferthroughputitems_average;azure_jobruntransferthroughputitems_count;azure_jobruntransferthroughputitems_maximum;azure_jobruntransferthroughputitems_minimum;azure_jobruntransferthroughputitems_total,Job Run transfer throughput in items/sec,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_jobrunname,average
