Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_http403_average;azure_http403_count;azure_http403_maximum;azure_http403_minimum;azure_http403_total,Number of requests resulting in an HTTP 403 status code,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_instance,total
azure_http404_average;azure_http404_count;azure_http404_maximum;azure_http404_minimum;azure_http404_total,Number of requests resulting in an HTTP 404 status code,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_instance,total
azure_http406_average;azure_http406_count;azure_http406_maximum;azure_http406_minimum;azure_http406_total,Number of requests resulting in an HTTP 406 status code,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_instance,total
azure_http4xx_average;azure_http4xx_count;azure_http4xx_maximum;azure_http4xx_minimum;azure_http4xx_total,Number of requests resulting in an HTTP status code ≥ 400 but < 500,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_instance,total
azure_http5xx_average;azure_http5xx_count;azure_http5xx_maximum;azure_http5xx_minimum;azure_http5xx_total,Number of requests resulting in an HTTP status code ≥ 500 but < 600,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_instance,total
azure_httpqueuelength_average;azure_httpqueuelength_count;azure_httpqueuelength_maximum;azure_httpqueuelength_minimum;azure_httpqueuelength_total,Number of HTTP requests that had to sit on the queue before being fulfilled,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_instance,average
azure_httpresponsetime_average;azure_httpresponsetime_count;azure_httpresponsetime_maximum;azure_httpresponsetime_minimum;azure_httpresponsetime_total,Time taken for the ASE to serve requests,Seconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_instance,average
azure_largeappserviceplaninstances_average;azure_largeappserviceplaninstances_count;azure_largeappserviceplaninstances_maximum;azure_largeappserviceplaninstances_minimum;azure_largeappserviceplaninstances_total,Number of large App Service Plan worker instances,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_mediumappserviceplaninstances_average;azure_mediumappserviceplaninstances_count;azure_mediumappserviceplaninstances_maximum;azure_mediumappserviceplaninstances_minimum;azure_mediumappserviceplaninstances_total,Number of medium App Service Plan worker instances,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_memorypercentage_average;azure_memorypercentage_count;azure_memorypercentage_maximum;azure_memorypercentage_minimum;azure_memorypercentage_total,Memory used across all front end instances,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_instance,average
azure_requests_average;azure_requests_count;azure_requests_maximum;azure_requests_minimum;azure_requests_total,Number of web requests served,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_instance,total
azure_smallappserviceplaninstances_average;azure_smallappserviceplaninstances_count;azure_smallappserviceplaninstances_maximum;azure_smallappserviceplaninstances_minimum;azure_smallappserviceplaninstances_total,Number of small App Service Plan worker instances,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_totalfrontends_average;azure_totalfrontends_count;azure_totalfrontends_maximum;azure_totalfrontends_minimum;azure_totalfrontends_total,Number of front end instances,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
