Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_availability_average;azure_availability_count;azure_availability_maximum;azure_availability_minimum;azure_availability_total,"The percentage of availability for the storage service or the specified API operation. Availability is calculated by taking the TotalBillableRequests value and dividing it by the number of applicable requests, including those that produced unexpected errors. All unexpected errors result in reduced availability for the storage service or the specified API operation.",Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_geotype;metadata_apiname;metadata_authentication,average
azure_egress_average;azure_egress_count;azure_egress_maximum;azure_egress_minimum;azure_egress_total,"The amount of egress data. This number includes egress to external client from Azure Storage as well as egress within Azure. As a result, this number does not reflect billable egress.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_geotype;metadata_apiname;metadata_authentication,total
azure_ingress_average;azure_ingress_count;azure_ingress_maximum;azure_ingress_minimum;azure_ingress_total,"The amount of ingress data, in bytes. This number includes ingress from an external client into Azure Storage as well as ingress within Azure.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_geotype;metadata_apiname;metadata_authentication,total
azure_queuecapacity_average;azure_queuecapacity_count;azure_queuecapacity_maximum;azure_queuecapacity_minimum;azure_queuecapacity_total,The amount of Queue storage used by the storage account.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_queuecount_average;azure_queuecount_count;azure_queuecount_maximum;azure_queuecount_minimum;azure_queuecount_total,The number of queues in the storage account.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_queuemessagecount_average;azure_queuemessagecount_count;azure_queuemessagecount_maximum;azure_queuemessagecount_minimum;azure_queuemessagecount_total,The number of unexpired queue messages in the storage account.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,average
azure_successe2elatency_average;azure_successe2elatency_count;azure_successe2elatency_maximum;azure_successe2elatency_minimum;azure_successe2elatency_total,"The average end-to-end latency of successful requests made to a storage service or the specified API operation, in milliseconds. This value includes the required processing time within Azure Storage to read the request, send the response, and receive acknowledgment of the response.",MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_geotype;metadata_apiname;metadata_authentication,average
azure_successserverlatency_average;azure_successserverlatency_count;azure_successserverlatency_maximum;azure_successserverlatency_minimum;azure_successserverlatency_total,The average time used to process a successful request by Azure Storage. This value does not include the network latency specified in SuccessE2ELatency.,MilliSeconds,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_geotype;metadata_apiname;metadata_authentication,average
azure_transactions_average;azure_transactions_count;azure_transactions_maximum;azure_transactions_minimum;azure_transactions_total,"The number of requests made to a storage service or the specified API operation. This number includes successful and failed requests, as well as requests which produced errors. Use ResponseType dimension for the number of different type of response.",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_responsetype;metadata_geotype;metadata_apiname;metadata_authentication;metadata_transactiontype,total
