Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_backuphealthevent_average;azure_backuphealthevent_count;azure_backuphealthevent_maximum;azure_backuphealthevent_minimum;azure_backuphealthevent_total,The count of health events pertaining to backup job health,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_datasourceurl;metadata_backupinstanceurl;metadata_datasourcetype;metadata_healthstatus;metadata_backupinstancename,count
azure_restorehealthevent_average;azure_restorehealthevent_count;azure_restorehealthevent_maximum;azure_restorehealthevent_minimum;azure_restorehealthevent_total,The count of health events pertaining to restore job health,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_datasourceurl;metadata_backupinstanceurl;metadata_datasourcetype;metadata_healthstatus;metadata_backupinstancename,count
