Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_anchorscreated_average;azure_anchorscreated_count;azure_anchorscreated_maximum;azure_anchorscreated_minimum;azure_anchorscreated_total,Number of Anchors created,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_devicefamily;metadata_sdkversion,total
azure_anchorsdeleted_average;azure_anchorsdeleted_count;azure_anchorsdeleted_maximum;azure_anchorsdeleted_minimum;azure_anchorsdeleted_total,Number of Anchors deleted,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_devicefamily;metadata_sdkversion,total
azure_anchorsqueried_average;azure_anchorsqueried_count;azure_anchorsqueried_maximum;azure_anchorsqueried_minimum;azure_anchorsqueried_total,Number of Spatial Anchors queried,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_devicefamily;metadata_sdkversion,total
azure_anchorsupdated_average;azure_anchorsupdated_count;azure_anchorsupdated_maximum;azure_anchorsupdated_minimum;azure_anchorsupdated_total,Number of Anchors updated,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_devicefamily;metadata_sdkversion,total
azure_posesfound_average;azure_posesfound_count;azure_posesfound_maximum;azure_posesfound_minimum;azure_posesfound_total,Number of Poses returned,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_devicefamily;metadata_sdkversion,total
azure_totaldailyanchors_average;azure_totaldailyanchors_count;azure_totaldailyanchors_maximum;azure_totaldailyanchors_minimum;azure_totaldailyanchors_total,Total number of Anchors - Daily,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_devicefamily;metadata_sdkversion,average
