zookeeper_jutemaxbuffersize,"org.apache.ZooKeeperService:name=null,type=null,attribute=JuteMaxBufferSize",,Gauge
zookeeper_largerequestmaxbytes,"org.apache.ZooKeeperService:name=null,type=null,attribute=LargeRequestMaxBytes",,Gauge
zookeeper_largerequestthreshold,"org.apache.ZooKeeperService:name=null,type=null,attribute=LargeRequestThreshold",,Gauge
zookeeper_lastclientresponsesize,"org.apache.ZooKeeperService:name=null,type=null,attribute=LastClientResponseSize",,Gauge
zookeeper_logdirsize,"org.apache.ZooKeeperService:name=null,type=null,attribute=LogDirSize",,Gauge
zookeeper_maxbatchsize,"org.apache.ZooKeeperService:name=null,type=null,attribute=MaxBatchSize",,Gauge
zookeeper_maxclientcnxnsperhost,"org.apache.ZooKeeperService:name=null,type=null,attribute=MaxClientCnxnsPerHost",,Gauge
zookeeper_maxclientresponsesize,"org.apache.ZooKeeperService:name=null,type=null,attribute=MaxClientResponseSize",,Gauge
zookeeper_maxcnxns,"org.apache.ZooKeeperService:name=null,type=null,attribute=MaxCnxns",,Gauge
zookeeper_maxrequestlatency,"org.apache.ZooKeeperService:name=null,type=null,attribute=MaxRequestLatency",,Gauge
zookeeper_maxsessiontimeout,"org.apache.ZooKeeperService:name=null,type=null,attribute=MaxSessionTimeout",,Gauge
zookeeper_maxwritequeuepolltime,"org.apache.ZooKeeperService:name=null,type=null,attribute=MaxWriteQueuePollTime",,Gauge
zookeeper_minclientresponsesize,"org.apache.ZooKeeperService:name=null,type=null,attribute=MinClientResponseSize",,Gauge
zookeeper_minrequestlatency,"org.apache.ZooKeeperService:name=null,type=null,attribute=MinRequestLatency",,Gauge
zookeeper_minsessiontimeout,"org.apache.ZooKeeperService:name=null,type=null,attribute=MinSessionTimeout",,Gauge
zookeeper_nonmtlslocalconncount,"org.apache.ZooKeeperService:name=null,type=null,attribute=NonMTLSLocalConnCount",,Gauge
zookeeper_nonmtlsremoteconncount,"org.apache.ZooKeeperService:name=null,type=null,attribute=NonMTLSRemoteConnCount",,Gauge
zookeeper_numaliveconnections,"org.apache.ZooKeeperService:name=null,type=null,attribute=NumAliveConnections",,Gauge
zookeeper_outstandingrequests,"org.apache.ZooKeeperService:name=null,type=null,attribute=OutstandingRequests",,Gauge
zookeeper_packetsreceived,"org.apache.ZooKeeperService:name=null,type=null,attribute=PacketsReceived",,Gauge
zookeeper_packetssent,"org.apache.ZooKeeperService:name=null,type=null,attribute=PacketsSent",,Gauge
zookeeper_requeststaleconnectioncheck,"org.apache.ZooKeeperService:name=null,type=null,attribute=RequestStaleConnectionCheck",,Gauge
zookeeper_requeststalelatencycheck,"org.apache.ZooKeeperService:name=null,type=null,attribute=RequestStaleLatencyCheck",,Gauge
zookeeper_requestthrottledropstale,"org.apache.ZooKeeperService:name=null,type=null,attribute=RequestThrottleDropStale",,Gauge
zookeeper_requestthrottlelimit,"org.apache.ZooKeeperService:name=null,type=null,attribute=RequestThrottleLimit",,Gauge
zookeeper_requestthrottlestalltime,"org.apache.ZooKeeperService:name=null,type=null,attribute=RequestThrottleStallTime",,Gauge
zookeeper_responsecachingenabled,"org.apache.ZooKeeperService:name=null,type=null,attribute=ResponseCachingEnabled",,Gauge
zookeeper_starttime,"org.apache.ZooKeeperService:name=null,type=null,attribute=StartTime",,Gauge
zookeeper_ticktime,"org.apache.ZooKeeperService:name=null,type=null,attribute=TickTime",,Gauge
zookeeper_txnlogelapsedsynctime,"org.apache.ZooKeeperService:name=null,type=null,attribute=TxnLogElapsedSyncTime",,Gauge
zookeeper_version,"org.apache.ZooKeeperService:name=null,type=null,attribute=Version",,Gauge
jmx_config_reload_failure_created,"Number of times configuration have failed to be reloaded.",,Sum
jmx_config_reload_failure_total,"Number of times configuration have failed to be reloaded.",,Sum
jmx_config_reload_success_created,"Number of times configuration have successfully been reloaded.",,Sum
jmx_config_reload_success_total,"Number of times configuration have successfully been reloaded.",,Sum
