Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_pendingbytesforreplication_average;azure_pendingbytesforreplication_count;azure_pendingbytesforreplication_maximum;azure_pendingbytesforreplication_minimum;azure_pendingbytesforreplication_total,"The size in bytes of the blob object pending for replication, please note, this metric is in preview and is subject to change before becoming generally available",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_timebucket,average
azure_pendingoperationsforreplication_average;azure_pendingoperationsforreplication_count;azure_pendingoperationsforreplication_maximum;azure_pendingoperationsforreplication_minimum;azure_pendingoperationsforreplication_total,"The count of pending operations for replication, please note, this metric is in preview and is subject to change before becoming generally available",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_timebucket,average
