azure_gatewaysystemcpuusage_average;azure_gatewaysystemcpuusage_count;azure_gatewaysystemcpuusage_maximum;azure_gatewaysystemcpuusage_minimum;azure_gatewaysystemcpuusage_total,Gauge,Percent,The recent CPU usage for the whole system,
azure_gc-heap-size_average;azure_gc-heap-size_count;azure_gc-heap-size_maximum;azure_gc-heap-size_minimum;azure_gc-heap-size_total,Gauge,Count,Total heap size reported by the GC (MB),
azure_gen-0-gc-count_average;azure_gen-0-gc-count_count;azure_gen-0-gc-count_maximum;azure_gen-0-gc-count_minimum;azure_gen-0-gc-count_total,Gauge,Count,Number of Gen 0 GCs,
azure_gen-0-size_average;azure_gen-0-size_count;azure_gen-0-size_maximum;azure_gen-0-size_minimum;azure_gen-0-size_total,Gauge,Bytes,Gen 0 Heap Size,
azure_gen-1-gc-count_average;azure_gen-1-gc-count_count;azure_gen-1-gc-count_maximum;azure_gen-1-gc-count_minimum;azure_gen-1-gc-count_total,Gauge,Count,Number of Gen 1 GCs,
azure_gen-1-size_average;azure_gen-1-size_count;azure_gen-1-size_maximum;azure_gen-1-size_minimum;azure_gen-1-size_total,Gauge,Bytes,Gen 1 Heap Size,
azure_gen-2-gc-count_average;azure_gen-2-gc-count_count;azure_gen-2-gc-count_maximum;azure_gen-2-gc-count_minimum;azure_gen-2-gc-count_total,Gauge,Count,Number of Gen 2 GCs,
azure_gen-2-size_average;azure_gen-2-size_count;azure_gen-2-size_maximum;azure_gen-2-size_minimum;azure_gen-2-size_total,Gauge,Bytes,Gen 2 Heap Size,
azure_ingressbytesreceived_average;azure_ingressbytesreceived_count;azure_ingressbytesreceived_maximum;azure_ingressbytesreceived_minimum;azure_ingressbytesreceived_total,Gauge,Bytes,Count of bytes received by Azure Spring Apps from the clients,
azure_ingressbytesreceivedrate_average;azure_ingressbytesreceivedrate_count;azure_ingressbytesreceivedrate_maximum;azure_ingressbytesreceivedrate_minimum;azure_ingressbytesreceivedrate_total,Gauge,BytesPerSecond,Bytes received per second by Azure Spring Apps from the clients,
azure_ingressbytessent_average;azure_ingressbytessent_count;azure_ingressbytessent_maximum;azure_ingressbytessent_minimum;azure_ingressbytessent_total,Gauge,Bytes,Count of bytes sent by Azure Spring Apps to the clients,
azure_ingressbytessentrate_average;azure_ingressbytessentrate_count;azure_ingressbytessentrate_maximum;azure_ingressbytessentrate_minimum;azure_ingressbytessentrate_total,Gauge,BytesPerSecond,Bytes sent per second by Azure Spring Apps to the clients,
azure_ingressfailedrequests_average;azure_ingressfailedrequests_count;azure_ingressfailedrequests_maximum;azure_ingressfailedrequests_minimum;azure_ingressfailedrequests_total,Gauge,Count,Count of failed requests by Azure Spring Apps from the clients,
azure_ingressrequests_average;azure_ingressrequests_count;azure_ingressrequests_maximum;azure_ingressrequests_minimum;azure_ingressrequests_total,Gauge,Count,Count of requests by Azure Spring Apps from the clients,
azure_ingressresponsestatus_average;azure_ingressresponsestatus_count;azure_ingressresponsestatus_maximum;azure_ingressresponsestatus_minimum;azure_ingressresponsestatus_total,Gauge,Count,"HTTP response status returned by Azure Spring Apps. The response status code distribution can be further categorized to show responses in 2xx, 3xx, 4xx, and 5xx categories",
azure_ingressresponsetime_average;azure_ingressresponsetime_count;azure_ingressresponsetime_maximum;azure_ingressresponsetime_minimum;azure_ingressresponsetime_total,Gauge,Seconds,Http response time return by Azure Spring Apps,
azure_jvm.gc.live.data.size_average;azure_jvm.gc.live.data.size_count;azure_jvm.gc.live.data.size_maximum;azure_jvm.gc.live.data.size_minimum;azure_jvm.gc.live.data.size_total,Gauge,Bytes,Size of old generation memory pool after a full GC,
azure_jvm.gc.max.data.size_average;azure_jvm.gc.max.data.size_count;azure_jvm.gc.max.data.size_maximum;azure_jvm.gc.max.data.size_minimum;azure_jvm.gc.max.data.size_total,Gauge,Bytes,Max size of old generation memory pool,
azure_jvm.gc.memory.allocated_average;azure_jvm.gc.memory.allocated_count;azure_jvm.gc.memory.allocated_maximum;azure_jvm.gc.memory.allocated_minimum;azure_jvm.gc.memory.allocated_total,Gauge,Bytes,Incremented for an increase in the size of the young generation memory pool after one GC to before the next,
azure_jvm.gc.memory.promoted_average;azure_jvm.gc.memory.promoted_count;azure_jvm.gc.memory.promoted_maximum;azure_jvm.gc.memory.promoted_minimum;azure_jvm.gc.memory.promoted_total,Gauge,Bytes,Count of positive increases in the size of the old generation memory pool before GC to after GC,
azure_jvm.gc.pause.total.count_average;azure_jvm.gc.pause.total.count_count;azure_jvm.gc.pause.total.count_maximum;azure_jvm.gc.pause.total.count_minimum;azure_jvm.gc.pause.total.count_total,Gauge,Count,GC Pause Count,
azure_jvm.gc.pause.total.time_average;azure_jvm.gc.pause.total.time_count;azure_jvm.gc.pause.total.time_maximum;azure_jvm.gc.pause.total.time_minimum;azure_jvm.gc.pause.total.time_total,Gauge,Milliseconds,GC Pause Total Time,
azure_jvm.memory.committed_average;azure_jvm.memory.committed_count;azure_jvm.memory.committed_maximum;azure_jvm.memory.committed_minimum;azure_jvm.memory.committed_total,Gauge,Bytes,Memory assigned to JVM in bytes,
azure_jvm.memory.max_average;azure_jvm.memory.max_count;azure_jvm.memory.max_maximum;azure_jvm.memory.max_minimum;azure_jvm.memory.max_total,Gauge,Bytes,The maximum amount of memory in bytes that can be used for memory management,
azure_jvm.memory.used_average;azure_jvm.memory.used_count;azure_jvm.memory.used_maximum;azure_jvm.memory.used_minimum;azure_jvm.memory.used_total,Gauge,Bytes,App Memory Used in bytes,
azure_loh-size_average;azure_loh-size_count;azure_loh-size_maximum;azure_loh-size_minimum;azure_loh-size_total,Gauge,Bytes,LOH Heap Size,
azure_monitor-lock-contention-count_average;azure_monitor-lock-contention-count_count;azure_monitor-lock-contention-count_maximum;azure_monitor-lock-contention-count_minimum;azure_monitor-lock-contention-count_total,Gauge,Count,Number of times there were contention when trying to take the monitor lock,
azure_podcpuusage_average;azure_podcpuusage_count;azure_podcpuusage_maximum;azure_podcpuusage_minimum;azure_podcpuusage_total,Gauge,Percent,The recent CPU usage for the app,
azure_podmemoryusage_average;azure_podmemoryusage_count;azure_podmemoryusage_maximum;azure_podmemoryusage_minimum;azure_podmemoryusage_total,Gauge,Percent,The recent Memory usage for the app,
azure_podnetworkin_average;azure_podnetworkin_count;azure_podnetworkin_maximum;azure_podnetworkin_minimum;azure_podnetworkin_total,Gauge,Bytes,Cumulative count of bytes received in the app,
azure_podnetworkout_average;azure_podnetworkout_count;azure_podnetworkout_maximum;azure_podnetworkout_minimum;azure_podnetworkout_total,Gauge,Bytes,Cumulative count of bytes sent from the app,
azure_process.cpu.usage_average;azure_process.cpu.usage_count;azure_process.cpu.usage_maximum;azure_process.cpu.usage_minimum;azure_process.cpu.usage_total,Gauge,Percent,The recent CPU usage for the JVM process,
azure_requests_average;azure_requests_count;azure_requests_maximum;azure_requests_minimum;azure_requests_total,Gauge,Count,Requests processed,
azure_requests-per-second_average;azure_requests-per-second_count;azure_requests-per-second_maximum;azure_requests-per-second_minimum;azure_requests-per-second_total,Gauge,Count,Request rate,
azure_restartcount_average;azure_restartcount_count;azure_restartcount_maximum;azure_restartcount_minimum;azure_restartcount_total,Gauge,Count,Restart count of Spring App,
azure_rxbytes_average;azure_rxbytes_count;azure_rxbytes_maximum;azure_rxbytes_minimum;azure_rxbytes_total,Gauge,Bytes,Network received bytes,
azure_system.cpu.usage_average;azure_system.cpu.usage_count;azure_system.cpu.usage_maximum;azure_system.cpu.usage_minimum;azure_system.cpu.usage_total,Gauge,Percent,The recent CPU usage for the whole system,
azure_threadpool-completed-items-count_average;azure_threadpool-completed-items-count_count;azure_threadpool-completed-items-count_maximum;azure_threadpool-completed-items-count_minimum;azure_threadpool-completed-items-count_total,Gauge,Count,ThreadPool Completed Work Items Count,
azure_threadpool-queue-length_average;azure_threadpool-queue-length_count;azure_threadpool-queue-length_maximum;azure_threadpool-queue-length_minimum;azure_threadpool-queue-length_total,Gauge,Count,ThreadPool Work Items Queue Length,
azure_threadpool-thread-count_average;azure_threadpool-thread-count_count;azure_threadpool-thread-count_maximum;azure_threadpool-thread-count_minimum;azure_threadpool-thread-count_total,Gauge,Count,Number of ThreadPool Threads,
azure_time-in-gc_average;azure_time-in-gc_count;azure_time-in-gc_maximum;azure_time-in-gc_minimum;azure_time-in-gc_total,Gauge,Percent,% time in GC since the last GC,
azure_tomcat.global.error_average;azure_tomcat.global.error_count;azure_tomcat.global.error_maximum;azure_tomcat.global.error_minimum;azure_tomcat.global.error_total,Gauge,Count,Tomcat Global Error,
azure_tomcat.global.received_average;azure_tomcat.global.received_count;azure_tomcat.global.received_maximum;azure_tomcat.global.received_minimum;azure_tomcat.global.received_total,Gauge,Bytes,Tomcat Total Received Bytes,
azure_tomcat.global.request.avg.time_average;azure_tomcat.global.request.avg.time_count;azure_tomcat.global.request.avg.time_maximum;azure_tomcat.global.request.avg.time_minimum;azure_tomcat.global.request.avg.time_total,Gauge,Milliseconds,Tomcat Request Average Time,
azure_tomcat.global.request.max_average;azure_tomcat.global.request.max_count;azure_tomcat.global.request.max_maximum;azure_tomcat.global.request.max_minimum;azure_tomcat.global.request.max_total,Gauge,Milliseconds,Tomcat Request Max Time,
azure_tomcat.global.request.total.count_average;azure_tomcat.global.request.total.count_count;azure_tomcat.global.request.total.count_maximum;azure_tomcat.global.request.total.count_minimum;azure_tomcat.global.request.total.count_total,Gauge,Count,Tomcat Request Total Count,
azure_tomcat.global.request.total.time_average;azure_tomcat.global.request.total.time_count;azure_tomcat.global.request.total.time_maximum;azure_tomcat.global.request.total.time_minimum;azure_tomcat.global.request.total.time_total,Gauge,Milliseconds,Tomcat Request Total Time,
azure_tomcat.global.sent_average;azure_tomcat.global.sent_count;azure_tomcat.global.sent_maximum;azure_tomcat.global.sent_minimum;azure_tomcat.global.sent_total,Gauge,Bytes,Tomcat Total Sent Bytes,
azure_tomcat.sessions.active.current_average;azure_tomcat.sessions.active.current_count;azure_tomcat.sessions.active.current_maximum;azure_tomcat.sessions.active.current_minimum;azure_tomcat.sessions.active.current_total,Gauge,Count,Tomcat Session Active Count,
azure_tomcat.sessions.active.max_average;azure_tomcat.sessions.active.max_count;azure_tomcat.sessions.active.max_maximum;azure_tomcat.sessions.active.max_minimum;azure_tomcat.sessions.active.max_total,Gauge,Count,Tomcat Session Max Active Count,
azure_tomcat.sessions.alive.max_average;azure_tomcat.sessions.alive.max_count;azure_tomcat.sessions.alive.max_maximum;azure_tomcat.sessions.alive.max_minimum;azure_tomcat.sessions.alive.max_total,Gauge,Milliseconds,Tomcat Session Max Alive Time,
azure_tomcat.sessions.created_average;azure_tomcat.sessions.created_count;azure_tomcat.sessions.created_maximum;azure_tomcat.sessions.created_minimum;azure_tomcat.sessions.created_total,Gauge,Count,Tomcat Session Created Count,
azure_tomcat.sessions.expired_average;azure_tomcat.sessions.expired_count;azure_tomcat.sessions.expired_maximum;azure_tomcat.sessions.expired_minimum;azure_tomcat.sessions.expired_total,Gauge,Count,Tomcat Session Expired Count,
azure_tomcat.sessions.rejected_average;azure_tomcat.sessions.rejected_count;azure_tomcat.sessions.rejected_maximum;azure_tomcat.sessions.rejected_minimum;azure_tomcat.sessions.rejected_total,Gauge,Count,Tomcat Session Rejected Count,
azure_tomcat.threads.config.max_average;azure_tomcat.threads.config.max_count;azure_tomcat.threads.config.max_maximum;azure_tomcat.threads.config.max_minimum;azure_tomcat.threads.config.max_total,Gauge,Count,Tomcat Config Max Thread Count,
azure_tomcat.threads.current_average;azure_tomcat.threads.current_count;azure_tomcat.threads.current_maximum;azure_tomcat.threads.current_minimum;azure_tomcat.threads.current_total,Gauge,Count,Tomcat Current Thread Count,
azure_total-requests_average;azure_total-requests_count;azure_total-requests_maximum;azure_total-requests_minimum;azure_total-requests_total,Gauge,Count,Total number of requests in the lifetime of the process,
azure_txbytes_average;azure_txbytes_count;azure_txbytes_maximum;azure_txbytes_minimum;azure_txbytes_total,Gauge,Bytes,Network transmitted bytes,
azure_usagenanocores_average;azure_usagenanocores_count;azure_usagenanocores_maximum;azure_usagenanocores_minimum;azure_usagenanocores_total,Gauge,NanoCores,"CPU consumed by Spring App, in nano cores. 1,000,000,000 nano cores = 1 core",
azure_working-set_average;azure_working-set_count;azure_working-set_maximum;azure_working-set_minimum;azure_working-set_total,Gauge,Count,Amount of working set used by the process (MB),
azure_workingsetbytes_average;azure_workingsetbytes_count;azure_workingsetbytes_maximum;azure_workingsetbytes_minimum;azure_workingsetbytes_total,Gauge,Bytes,Spring App working set memory used in bytes.,
