Name,Description,Unit,DataType
jvm_buffer_pool_capacity_bytes,"Bytes capacity of a given JVM buffer pool.",,Gauge
wildfly_undertow_request_count,"The number of requests this listener has served jboss.as:name=null,type=null,attribute=requestCount",,Gauge
wildfly_datasource_pool_xarecover_max_time,"The maximum time for a XAResource recover invocation jboss.as:name=null,type=null,attribute=XARecoverMaxTime",,Gauge
jvm_threads_started_total,"Started thread count of a JVM",,Sum
wildfly_datasource_pool_average_creation_time,"The average time spent creating a physical connection jboss.as:name=null,type=null,attribute=AverageCreationTime",,Gauge
wildfly_datasource_pool_max_usage_time,"The maximum time using a physical connection jboss.as:name=null,type=null,attribute=MaxUsageTime",,Gauge
process_start_time_seconds,"Start time of the process since unix epoch in seconds.",,Gauge
jmx_config_reload_failure_total,"Number of times configuration have failed to be reloaded.",,Sum
jvm_memory_bytes_init,"Initial bytes of a given JVM memory area.",,Gauge
jvm_gc_collection_seconds,"Time spent in a given JVM garbage collector in seconds.",,Summary
wildfly_datasource_pool_max_wait_count,"The maximum number of threads waiting for a connection jboss.as:name=null,type=null,attribute=MaxWaitCount",,Gauge
wildfly_datasource_pool_average_get_time,"The average time spent obtaining a physical connection jboss.as:name=null,type=null,attribute=AverageGetTime",,Gauge
wildfly_datasource_pool_max_used_count,"The maximum number of connections used jboss.as:name=null,type=null,attribute=MaxUsedCount",,Gauge
jvm_memory_pool_collection_committed_bytes,"Committed after last collection bytes of a given JVM memory pool.",,Gauge
jmx_scrape_duration_seconds,"Time this JMX scrape took, in seconds.",,Gauge
jvm_memory_pool_bytes_used,"Used bytes of a given JVM memory pool.",,Gauge
wildfly_datasource_pool_available_count,"The available count jboss.as:name=null,type=null,attribute=AvailableCount",,Gauge
jvm_buffer_pool_used_bytes,"Used bytes of a given JVM buffer pool.",,Gauge
wildfly_datasource_pool_max_creation_time,"The maximum time for creating a physical connection jboss.as:name=null,type=null,attribute=MaxCreationTime",,Gauge
wildfly_datasource_pool_blocking_failure_count,"The number of failures trying to obtain a physical connection jboss.as:name=null,type=null,attribute=BlockingFailureCount",,Gauge
wildfly_undertow_processing_time,"The total processing time of all requests handed by this listener jboss.as:name=null,type=null,attribute=processingTime",,Gauge
wildfly_datasource_jdbc_prepared_statement_cache_delete_count,"The number of statements discarded from the cache jboss.as:name=null,type=null,attribute=PreparedStatementCacheDeleteCount",,Gauge
jmx_exporter_build_info,"A metric with a constant '1' value labeled with the version of the JMX exporter.",,Gauge
jvm_classes_unloaded_total,"The total number of classes that have been unloaded since the JVM has started execution",,Sum
wildfly_datasource_pool_xastart_count,"The number of XAResource start invocations jboss.as:name=null,type=null,attribute=XAStartCount",,Gauge
wildfly_datasource_pool_wait_count,"The number of requests that had to wait to obtain a physical connection jboss.as:name=null,type=null,attribute=WaitCount",,Gauge
wildfly_datasource_pool_xaforget_count,"The number of XAResource forget invocations jboss.as:name=null,type=null,attribute=XAForgetCount",,Gauge
jmx_scrape_cached_beans,"Number of beans with their matching rule cached",,Gauge
wildfly_datasource_pool_created_count,"The created count jboss.as:name=null,type=null,attribute=CreatedCount",,Gauge
wildfly_datasource_pool_xarollback_average_time,"The average time for a XAResource rollback invocation jboss.as:name=null,type=null,attribute=XARollbackAverageTime",,Gauge
jvm_memory_pool_bytes_max,"Max bytes of a given JVM memory pool.",,Gauge
jvm_threads_daemon,"Daemon thread count of a JVM",,Gauge
jvm_classes_loaded_total,"The total number of classes that have been loaded since the JVM has started execution",,Sum
wildfly_datasource_pool_xarollback_total_time,"The total time for all XAResource rollback invocations jboss.as:name=null,type=null,attribute=XARollbackTotalTime",,Gauge
jvm_memory_bytes_max,"Max (bytes) of a given JVM memory area.",,Gauge
process_open_fds,"Number of open file descriptors.",,Gauge
jvm_threads_current,"Current thread count of a JVM",,Gauge
wildfly_datasource_pool_xarecover_count,"The number of XAResource recover invocations jboss.as:name=null,type=null,attribute=XARecoverCount",,Gauge
wildfly_datasource_pool_xaprepare_max_time,"The maximum time for a XAResource prepare invocation jboss.as:name=null,type=null,attribute=XAPrepareMaxTime",,Gauge
scrape_series_added,"The approximate number of new series in this scrape",,Gauge
wildfly_datasource_pool_statistics_enabled,"Define whether runtime statistics are enabled or not. jboss.as:name=null,type=null,attribute=statisticsEnabled",,Gauge
wildfly_datasource_pool_xastart_max_time,"The maximum time for a XAResource start invocation jboss.as:name=null,type=null,attribute=XAStartMaxTime",,Gauge
wildfly_datasource_pool_average_blocking_time,"Average Blocking Time for pool jboss.as:name=null,type=null,attribute=AverageBlockingTime",,Gauge
process_resident_memory_bytes,"Resident memory size in bytes.",,Gauge
wildfly_datasource_pool_in_use_count,"The number of physical connections currently in use jboss.as:name=null,type=null,attribute=InUseCount",,Gauge
wildfly_undertow_bytes_received,"The number of bytes that have been received by this listener jboss.as:name=null,type=null,attribute=bytesReceived",,Gauge
jmx_config_reload_success_created,"Number of times configuration have successfully been reloaded.",,Sum
wildfly_datasource_pool_average_pool_time,"The average time for a physical connection spent in the pool jboss.as:name=null,type=null,attribute=AveragePoolTime",,Gauge
wildfly_datasource_pool_xacommit_average_time,"The average time for a XAResource commit invocation jboss.as:name=null,type=null,attribute=XACommitAverageTime",,Gauge
wildfly_datasource_pool_active_count,"The active count jboss.as:name=null,type=null,attribute=ActiveCount",,Gauge
jvm_memory_bytes_committed,"Committed (bytes) of a given JVM memory area.",,Gauge
wildfly_datasource_pool_xaforget_total_time,"The total time for all XAResource forget invocations jboss.as:name=null,type=null,attribute=XAForgetTotalTime",,Gauge
wildfly_datasource_jdbc_prepared_statement_cache_current_size,"The number of prepared and callable statements currently cached in the statement cache jboss.as:name=null,type=null,attribute=PreparedStatementCacheCurrentSize",,Gauge
jmx_config_reload_success_total,"Number of times configuration have successfully been reloaded.",,Sum
jvm_memory_pool_collection_init_bytes,"Initial after last collection bytes of a given JVM memory pool.",,Gauge
wildfly_datasource_pool_max_pool_time,"The maximum time for a physical connection in the pool jboss.as:name=null,type=null,attribute=MaxPoolTime",,Gauge
