azure_queryvolume_average;azure_queryvolume_count;azure_queryvolume_maximum;azure_queryvolume_minimum;azure_queryvolume_total,Gauge,Count,Number of queries served for a DNS zone,
azure_recordsetcapacityutilization_average;azure_recordsetcapacityutilization_count;azure_recordsetcapacityutilization_maximum;azure_recordsetcapacityutilization_minimum;azure_recordsetcapacityutilization_total,Gauge,Percent,Percent of Record Set capacity utilized by a DNS zone,
azure_recordsetcount_average;azure_recordsetcount_count;azure_recordsetcount_maximum;azure_recordsetcount_minimum;azure_recordsetcount_total,Gauge,Count,Number of Record Sets in a DNS zone,
