azure_incoming_average;azure_incoming_count;azure_incoming_maximum;azure_incoming_minimum;azure_incoming_total,Gauge,Count,The count of all successful send API calls.,
azure_outgoing.gcm.invalidnotificationformat_average;azure_outgoing.gcm.invalidnotificationformat_count;azure_outgoing.gcm.invalidnotificationformat_maximum;azure_outgoing.gcm.invalidnotificationformat_minimum;azure_outgoing.gcm.invalidnotificationformat_total,Gauge,Count,The count of pushes that failed because the payload was not formatted correctly (GCM result: InvalidDataKey or InvalidTtl).,
azure_outgoing.gcm.invalidnotificationsize_average;azure_outgoing.gcm.invalidnotificationsize_count;azure_outgoing.gcm.invalidnotificationsize_maximum;azure_outgoing.gcm.invalidnotificationsize_minimum;azure_outgoing.gcm.invalidnotificationsize_total,Gauge,Count,The count of pushes that failed because the payload was too large (GCM result: MessageTooBig).,
azure_outgoing.gcm.pnserror_average;azure_outgoing.gcm.pnserror_count;azure_outgoing.gcm.pnserror_maximum;azure_outgoing.gcm.pnserror_minimum;azure_outgoing.gcm.pnserror_total,Gauge,Count,The count of pushes that failed because of errors communicating with GCM.,
azure_outgoing.gcm.success_average;azure_outgoing.gcm.success_count;azure_outgoing.gcm.success_maximum;azure_outgoing.gcm.success_minimum;azure_outgoing.gcm.success_total,Gauge,Count,The count of all successful notifications.,
azure_outgoing.gcm.throttled_average;azure_outgoing.gcm.throttled_count;azure_outgoing.gcm.throttled_maximum;azure_outgoing.gcm.throttled_minimum;azure_outgoing.gcm.throttled_total,Gauge,Count,The count of pushes that failed because GCM throttled this app (GCM status code: 501-599 or result:Unavailable).,
azure_outgoing.gcm.wrongchannel_average;azure_outgoing.gcm.wrongchannel_count;azure_outgoing.gcm.wrongchannel_maximum;azure_outgoing.gcm.wrongchannel_minimum;azure_outgoing.gcm.wrongchannel_total,Gauge,Count,The count of pushes that failed because the registrationId in the registration is not associated to the current app (GCM result: InvalidPackageName).,
azure_outgoing.mpns.authenticationerror_average;azure_outgoing.mpns.authenticationerror_count;azure_outgoing.mpns.authenticationerror_maximum;azure_outgoing.mpns.authenticationerror_minimum;azure_outgoing.mpns.authenticationerror_total,Gauge,Count,The count of pushes that failed because the PNS did not accept the provided credentials or the credentials are blocked.,
azure_outgoing.mpns.badchannel_average;azure_outgoing.mpns.badchannel_count;azure_outgoing.mpns.badchannel_maximum;azure_outgoing.mpns.badchannel_minimum;azure_outgoing.mpns.badchannel_total,Gauge,Count,The count of pushes that failed because the ChannelURI in the registration was not recognized (MPNS status: 404 not found).,
azure_outgoing.mpns.channeldisconnected_average;azure_outgoing.mpns.channeldisconnected_count;azure_outgoing.mpns.channeldisconnected_maximum;azure_outgoing.mpns.channeldisconnected_minimum;azure_outgoing.mpns.channeldisconnected_total,Gauge,Count,The count of pushes that failed because the ChannelURI in the registration was disconnected (MPNS status: 412 not found).,
azure_outgoing.mpns.dropped_average;azure_outgoing.mpns.dropped_count;azure_outgoing.mpns.dropped_maximum;azure_outgoing.mpns.dropped_minimum;azure_outgoing.mpns.dropped_total,Gauge,Count,The count of pushes that were dropped by MPNS (MPNS response header: X-NotificationStatus: QueueFull or Suppressed).,
azure_outgoing.mpns.invalidcredentials_average;azure_outgoing.mpns.invalidcredentials_count;azure_outgoing.mpns.invalidcredentials_maximum;azure_outgoing.mpns.invalidcredentials_minimum;azure_outgoing.mpns.invalidcredentials_total,Gauge,Count,The count of pushes that failed because the PNS did not accept the provided credentials or the credentials are blocked.,
azure_outgoing.mpns.invalidnotificationformat_average;azure_outgoing.mpns.invalidnotificationformat_count;azure_outgoing.mpns.invalidnotificationformat_maximum;azure_outgoing.mpns.invalidnotificationformat_minimum;azure_outgoing.mpns.invalidnotificationformat_total,Gauge,Count,The count of pushes that failed because the payload of the notification was too large.,
azure_outgoing.mpns.pnserror_average;azure_outgoing.mpns.pnserror_count;azure_outgoing.mpns.pnserror_maximum;azure_outgoing.mpns.pnserror_minimum;azure_outgoing.mpns.pnserror_total,Gauge,Count,The count of pushes that failed because of errors communicating with MPNS.,
azure_outgoing.mpns.success_average;azure_outgoing.mpns.success_count;azure_outgoing.mpns.success_maximum;azure_outgoing.mpns.success_minimum;azure_outgoing.mpns.success_total,Gauge,Count,The count of all successful notifications.,
azure_outgoing.mpns.throttled_average;azure_outgoing.mpns.throttled_count;azure_outgoing.mpns.throttled_maximum;azure_outgoing.mpns.throttled_minimum;azure_outgoing.mpns.throttled_total,Gauge,Count,The count of pushes that failed because MPNS is throttling this app (WNS MPNS: 406 Not Acceptable).,
azure_outgoing.wns.authenticationerror_average;azure_outgoing.wns.authenticationerror_count;azure_outgoing.wns.authenticationerror_maximum;azure_outgoing.wns.authenticationerror_minimum;azure_outgoing.wns.authenticationerror_total,Gauge,Count,Notification not delivered because of errors communicating with Windows Live invalid credentials or wrong token.,
azure_outgoing.wns.badchannel_average;azure_outgoing.wns.badchannel_count;azure_outgoing.wns.badchannel_maximum;azure_outgoing.wns.badchannel_minimum;azure_outgoing.wns.badchannel_total,Gauge,Count,The count of pushes that failed because the ChannelURI in the registration was not recognized (WNS status: 404 not found).,
azure_outgoing.wns.channeldisconnected_average;azure_outgoing.wns.channeldisconnected_count;azure_outgoing.wns.channeldisconnected_maximum;azure_outgoing.wns.channeldisconnected_minimum;azure_outgoing.wns.channeldisconnected_total,Gauge,Count,The notification was dropped because the ChannelURI in the registration is throttled (WNS response header: X-WNS-DeviceConnectionStatus: disconnected).,
azure_outgoing.wns.channelthrottled_average;azure_outgoing.wns.channelthrottled_count;azure_outgoing.wns.channelthrottled_maximum;azure_outgoing.wns.channelthrottled_minimum;azure_outgoing.wns.channelthrottled_total,Gauge,Count,The notification was dropped because the ChannelURI in the registration is throttled (WNS response header: X-WNS-NotificationStatus:channelThrottled).,
azure_outgoing.wns.dropped_average;azure_outgoing.wns.dropped_count;azure_outgoing.wns.dropped_maximum;azure_outgoing.wns.dropped_minimum;azure_outgoing.wns.dropped_total,Gauge,Count,The notification was dropped because the ChannelURI in the registration is throttled (X-WNS-NotificationStatus: dropped but not X-WNS-DeviceConnectionStatus: disconnected).,
azure_outgoing.wns.expiredchannel_average;azure_outgoing.wns.expiredchannel_count;azure_outgoing.wns.expiredchannel_maximum;azure_outgoing.wns.expiredchannel_minimum;azure_outgoing.wns.expiredchannel_total,Gauge,Count,The count of pushes that failed because the ChannelURI is expired (WNS status: 410 Gone).,
azure_outgoing.wns.invalidcredentials_average;azure_outgoing.wns.invalidcredentials_count;azure_outgoing.wns.invalidcredentials_maximum;azure_outgoing.wns.invalidcredentials_minimum;azure_outgoing.wns.invalidcredentials_total,Gauge,Count,The count of pushes that failed because the PNS did not accept the provided credentials or the credentials are blocked. (Windows Live does not recognize the credentials).,
azure_outgoing.wns.invalidnotificationformat_average;azure_outgoing.wns.invalidnotificationformat_count;azure_outgoing.wns.invalidnotificationformat_maximum;azure_outgoing.wns.invalidnotificationformat_minimum;azure_outgoing.wns.invalidnotificationformat_total,Gauge,Count,The format of the notification is invalid (WNS status: 400). Note that WNS does not reject all invalid payloads.,
azure_outgoing.wns.invalidnotificationsize_average;azure_outgoing.wns.invalidnotificationsize_count;azure_outgoing.wns.invalidnotificationsize_maximum;azure_outgoing.wns.invalidnotificationsize_minimum;azure_outgoing.wns.invalidnotificationsize_total,Gauge,Count,The notification payload is too large (WNS status: 413).,
azure_outgoing.wns.invalidtoken_average;azure_outgoing.wns.invalidtoken_count;azure_outgoing.wns.invalidtoken_maximum;azure_outgoing.wns.invalidtoken_minimum;azure_outgoing.wns.invalidtoken_total,Gauge,Count,The token provided to WNS is not valid (WNS status: 401 Unauthorized).,
azure_outgoing.wns.pnserror_average;azure_outgoing.wns.pnserror_count;azure_outgoing.wns.pnserror_maximum;azure_outgoing.wns.pnserror_minimum;azure_outgoing.wns.pnserror_total,Gauge,Count,Notification not delivered because of errors communicating with WNS.,
azure_outgoing.wns.success_average;azure_outgoing.wns.success_count;azure_outgoing.wns.success_maximum;azure_outgoing.wns.success_minimum;azure_outgoing.wns.success_total,Gauge,Count,The count of all successful notifications.,
azure_outgoing.wns.throttled_average;azure_outgoing.wns.throttled_count;azure_outgoing.wns.throttled_maximum;azure_outgoing.wns.throttled_minimum;azure_outgoing.wns.throttled_total,Gauge,Count,The count of pushes that failed because WNS is throttling this app (WNS status: 406 Not Acceptable).,
azure_outgoing.wns.tokenproviderunreachable_average;azure_outgoing.wns.tokenproviderunreachable_count;azure_outgoing.wns.tokenproviderunreachable_maximum;azure_outgoing.wns.tokenproviderunreachable_minimum;azure_outgoing.wns.tokenproviderunreachable_total,Gauge,Count,Windows Live is not reachable.,
azure_outgoing.wns.wrongtoken_average;azure_outgoing.wns.wrongtoken_count;azure_outgoing.wns.wrongtoken_maximum;azure_outgoing.wns.wrongtoken_minimum;azure_outgoing.wns.wrongtoken_total,Gauge,Count,The token provided to WNS is valid but for another application (WNS status: 403 Forbidden). This can happen if the ChannelURI in the registration is associated with another app. Check that the client app is associated with the same app whose credentials are in the notification hub.,
azure_registration.all_average;azure_registration.all_count;azure_registration.all_maximum;azure_registration.all_minimum;azure_registration.all_total,Gauge,Count,The count of all successful registration operations (creations updates queries and deletions).,
azure_registration.create_average;azure_registration.create_count;azure_registration.create_maximum;azure_registration.create_minimum;azure_registration.create_total,Gauge,Count,The count of all successful registration creations.,
azure_registration.delete_average;azure_registration.delete_count;azure_registration.delete_maximum;azure_registration.delete_minimum;azure_registration.delete_total,Gauge,Count,The count of all successful registration deletions.,
azure_registration.get_average;azure_registration.get_count;azure_registration.get_maximum;azure_registration.get_minimum;azure_registration.get_total,Gauge,Count,The count of all successful registration queries.,
azure_registration.update_average;azure_registration.update_count;azure_registration.update_maximum;azure_registration.update_minimum;azure_registration.update_total,Gauge,Count,The count of all successful registration updates.,
azure_scheduled.pending_average;azure_scheduled.pending_count;azure_scheduled.pending_maximum;azure_scheduled.pending_minimum;azure_scheduled.pending_total,Gauge,Count,Pending Scheduled Notifications,
