Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_activecallfailures_average;azure_activecallfailures_count;azure_activecallfailures_maximum;azure_activecallfailures_minimum;azure_activecallfailures_total,Percentage of active call failures,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_region,average
azure_activecalls_average;azure_activecalls_count;azure_activecalls_maximum;azure_activecalls_minimum;azure_activecalls_total,Count of the total number of active calls (signaling sessions),Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_region,average
azure_activeemergencycalls_average;azure_activeemergencycalls_count;azure_activeemergencycalls_maximum;azure_activeemergencycalls_minimum;azure_activeemergencycalls_total,Count of the total number of active emergency calls,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_region,average
