azure_querypoolbusythreads_average;azure_querypoolbusythreads_count;azure_querypoolbusythreads_maximum;azure_querypoolbusythreads_minimum;azure_querypoolbusythreads_total,Gauge,Count,Number of busy threads in the query thread pool.,
azure_querypoolidlethreads_average;azure_querypoolidlethreads_count;azure_querypoolidlethreads_maximum;azure_querypoolidlethreads_minimum;azure_querypoolidlethreads_total,Gauge,Count,Number of idle threads for I/O jobs in the processing thread pool.,
azure_querypooljobqueuelength_average;azure_querypooljobqueuelength_count;azure_querypooljobqueuelength_maximum;azure_querypooljobqueuelength_minimum;azure_querypooljobqueuelength_total,Gauge,Count,Number of jobs in the queue of the query thread pool.,
azure_quota_average;azure_quota_count;azure_quota_maximum;azure_quota_minimum;azure_quota_total,Gauge,Bytes,"Current memory quota, in bytes. Memory quota is also known as a memory grant or memory reservation.",
azure_quotablocked_average;azure_quotablocked_count;azure_quotablocked_maximum;azure_quotablocked_minimum;azure_quotablocked_total,Gauge,Count,Current number of quota requests that are blocked until other memory quotas are freed.,
azure_rowsconvertedpersec_average;azure_rowsconvertedpersec_count;azure_rowsconvertedpersec_maximum;azure_rowsconvertedpersec_minimum;azure_rowsconvertedpersec_total,Gauge,CountPerSecond,Rate of rows converted during processing.,
azure_rowsreadpersec_average;azure_rowsreadpersec_count;azure_rowsreadpersec_maximum;azure_rowsreadpersec_minimum;azure_rowsreadpersec_total,Gauge,CountPerSecond,Rate of rows read from all relational databases.,
azure_rowswrittenpersec_average;azure_rowswrittenpersec_count;azure_rowswrittenpersec_maximum;azure_rowswrittenpersec_minimum;azure_rowswrittenpersec_total,Gauge,CountPerSecond,Rate of rows written during processing.,
azure_shortparsingbusythreads_average;azure_shortparsingbusythreads_count;azure_shortparsingbusythreads_maximum;azure_shortparsingbusythreads_minimum;azure_shortparsingbusythreads_total,Gauge,Count,Number of busy threads in the short parsing thread pool.,
azure_shortparsingidlethreads_average;azure_shortparsingidlethreads_count;azure_shortparsingidlethreads_maximum;azure_shortparsingidlethreads_minimum;azure_shortparsingidlethreads_total,Gauge,Count,Number of idle threads in the short parsing thread pool.,
azure_shortparsingjobqueuelength_average;azure_shortparsingjobqueuelength_count;azure_shortparsingjobqueuelength_maximum;azure_shortparsingjobqueuelength_minimum;azure_shortparsingjobqueuelength_total,Gauge,Count,Number of jobs in the queue of the short parsing thread pool.,
azure_successfullconnectionspersec_average;azure_successfullconnectionspersec_count;azure_successfullconnectionspersec_maximum;azure_successfullconnectionspersec_minimum;azure_successfullconnectionspersec_total,Gauge,CountPerSecond,Rate of successful connection completions.,
azure_totalconnectionfailures_average;azure_totalconnectionfailures_count;azure_totalconnectionfailures_maximum;azure_totalconnectionfailures_minimum;azure_totalconnectionfailures_total,Gauge,Count,Total failed connection attempts.,
azure_totalconnectionrequests_average;azure_totalconnectionrequests_count;azure_totalconnectionrequests_maximum;azure_totalconnectionrequests_minimum;azure_totalconnectionrequests_total,Gauge,Count,Total connection requests. These are arrivals.,
azure_vertipaqnonpaged_average;azure_vertipaqnonpaged_count;azure_vertipaqnonpaged_maximum;azure_vertipaqnonpaged_minimum;azure_vertipaqnonpaged_total,Gauge,Bytes,Bytes of memory locked in the working set for use by the in-memory engine.,
azure_vertipaqpaged_average;azure_vertipaqpaged_count;azure_vertipaqpaged_maximum;azure_vertipaqpaged_minimum;azure_vertipaqpaged_total,Gauge,Bytes,Bytes of paged memory in use for in-memory data.,
azure_virtual_bytes_metric_average;azure_virtual_bytes_metric_count;azure_virtual_bytes_metric_maximum;azure_virtual_bytes_metric_minimum;azure_virtual_bytes_metric_total,Gauge,Bytes,Virtual bytes.,
