Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_memory_thrashing_metric_average;azure_memory_thrashing_metric_count;azure_memory_thrashing_metric_maximum;azure_memory_thrashing_metric_minimum;azure_memory_thrashing_metric_total,Average memory thrashing.,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_memorylimithard_average;azure_memorylimithard_count;azure_memorylimithard_maximum;azure_memorylimithard_minimum;azure_memorylimithard_total,"Hard memory limit, from configuration file.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_memorylimithigh_average;azure_memorylimithigh_count;azure_memorylimithigh_maximum;azure_memorylimithigh_minimum;azure_memorylimithigh_total,"High memory limit, from configuration file.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_memorylimitlow_average;azure_memorylimitlow_count;azure_memorylimitlow_maximum;azure_memorylimitlow_minimum;azure_memorylimitlow_total,"Low memory limit, from configuration file.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_memorylimitvertipaq_average;azure_memorylimitvertipaq_count;azure_memorylimitvertipaq_maximum;azure_memorylimitvertipaq_minimum;azure_memorylimitvertipaq_total,"In-memory limit, from configuration file.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_memoryusage_average;azure_memoryusage_count;azure_memoryusage_maximum;azure_memoryusage_minimum;azure_memoryusage_total,"Memory usage of the server process as used in calculating cleaner memory price. Equal to counter Process\PrivateBytes plus the size of memory-mapped data, ignoring any memory which was mapped or allocated by the xVelocity in-memory analytics engine (VertiPaq) in excess of the xVelocity engine Memory Limit.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_private_bytes_metric_average;azure_private_bytes_metric_count;azure_private_bytes_metric_maximum;azure_private_bytes_metric_minimum;azure_private_bytes_metric_total,Private bytes.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_processingpoolbusyiojobthreads_average;azure_processingpoolbusyiojobthreads_count;azure_processingpoolbusyiojobthreads_maximum;azure_processingpoolbusyiojobthreads_minimum;azure_processingpoolbusyiojobthreads_total,Number of threads running I/O jobs in the processing thread pool.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_processingpoolbusynoniothreads_average;azure_processingpoolbusynoniothreads_count;azure_processingpoolbusynoniothreads_maximum;azure_processingpoolbusynoniothreads_minimum;azure_processingpoolbusynoniothreads_total,Number of threads running non-I/O jobs in the processing thread pool.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_processingpoolidleiojobthreads_average;azure_processingpoolidleiojobthreads_count;azure_processingpoolidleiojobthreads_maximum;azure_processingpoolidleiojobthreads_minimum;azure_processingpoolidleiojobthreads_total,Number of idle threads for I/O jobs in the processing thread pool.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_processingpoolidlenoniothreads_average;azure_processingpoolidlenoniothreads_count;azure_processingpoolidlenoniothreads_maximum;azure_processingpoolidlenoniothreads_minimum;azure_processingpoolidlenoniothreads_total,Number of idle threads in the processing thread pool dedicated to non-I/O jobs.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_processingpooliojobqueuelength_average;azure_processingpooliojobqueuelength_count;azure_processingpooliojobqueuelength_maximum;azure_processingpooliojobqueuelength_minimum;azure_processingpooliojobqueuelength_total,Number of I/O jobs in the queue of the processing thread pool.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_processingpooljobqueuelength_average;azure_processingpooljobqueuelength_count;azure_processingpooljobqueuelength_maximum;azure_processingpooljobqueuelength_minimum;azure_processingpooljobqueuelength_total,Number of non-I/O jobs in the queue of the processing thread pool.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_qpu_metric_average;azure_qpu_metric_count;azure_qpu_metric_maximum;azure_qpu_metric_minimum;azure_qpu_metric_total,"QPU. Range 0-100 for S1, 0-200 for S2 and 0-400 for S4",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_querypoolbusythreads_average;azure_querypoolbusythreads_count;azure_querypoolbusythreads_maximum;azure_querypoolbusythreads_minimum;azure_querypoolbusythreads_total,Number of busy threads in the query thread pool.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_querypoolidlethreads_average;azure_querypoolidlethreads_count;azure_querypoolidlethreads_maximum;azure_querypoolidlethreads_minimum;azure_querypoolidlethreads_total,Number of idle threads for I/O jobs in the processing thread pool.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_querypooljobqueuelength_average;azure_querypooljobqueuelength_count;azure_querypooljobqueuelength_maximum;azure_querypooljobqueuelength_minimum;azure_querypooljobqueuelength_total,Number of jobs in the queue of the query thread pool.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_quota_average;azure_quota_count;azure_quota_maximum;azure_quota_minimum;azure_quota_total,"Current memory quota, in bytes. Memory quota is also known as a memory grant or memory reservation.",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_quotablocked_average;azure_quotablocked_count;azure_quotablocked_maximum;azure_quotablocked_minimum;azure_quotablocked_total,Current number of quota requests that are blocked until other memory quotas are freed.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_rowsconvertedpersec_average;azure_rowsconvertedpersec_count;azure_rowsconvertedpersec_maximum;azure_rowsconvertedpersec_minimum;azure_rowsconvertedpersec_total,Rate of rows converted during processing.,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_rowsreadpersec_average;azure_rowsreadpersec_count;azure_rowsreadpersec_maximum;azure_rowsreadpersec_minimum;azure_rowsreadpersec_total,Rate of rows read from all relational databases.,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_rowswrittenpersec_average;azure_rowswrittenpersec_count;azure_rowswrittenpersec_maximum;azure_rowswrittenpersec_minimum;azure_rowswrittenpersec_total,Rate of rows written during processing.,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_shortparsingbusythreads_average;azure_shortparsingbusythreads_count;azure_shortparsingbusythreads_maximum;azure_shortparsingbusythreads_minimum;azure_shortparsingbusythreads_total,Number of busy threads in the short parsing thread pool.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_shortparsingidlethreads_average;azure_shortparsingidlethreads_count;azure_shortparsingidlethreads_maximum;azure_shortparsingidlethreads_minimum;azure_shortparsingidlethreads_total,Number of idle threads in the short parsing thread pool.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_shortparsingjobqueuelength_average;azure_shortparsingjobqueuelength_count;azure_shortparsingjobqueuelength_maximum;azure_shortparsingjobqueuelength_minimum;azure_shortparsingjobqueuelength_total,Number of jobs in the queue of the short parsing thread pool.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_successfullconnectionspersec_average;azure_successfullconnectionspersec_count;azure_successfullconnectionspersec_maximum;azure_successfullconnectionspersec_minimum;azure_successfullconnectionspersec_total,Rate of successful connection completions.,CountPerSecond,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_totalconnectionfailures_average;azure_totalconnectionfailures_count;azure_totalconnectionfailures_maximum;azure_totalconnectionfailures_minimum;azure_totalconnectionfailures_total,Total failed connection attempts.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_totalconnectionrequests_average;azure_totalconnectionrequests_count;azure_totalconnectionrequests_maximum;azure_totalconnectionrequests_minimum;azure_totalconnectionrequests_total,Total connection requests. These are arrivals.,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_vertipaqnonpaged_average;azure_vertipaqnonpaged_count;azure_vertipaqnonpaged_maximum;azure_vertipaqnonpaged_minimum;azure_vertipaqnonpaged_total,Bytes of memory locked in the working set for use by the in-memory engine.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_vertipaqpaged_average;azure_vertipaqpaged_count;azure_vertipaqpaged_maximum;azure_vertipaqpaged_minimum;azure_vertipaqpaged_total,Bytes of paged memory in use for in-memory data.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
azure_virtual_bytes_metric_average;azure_virtual_bytes_metric_count;azure_virtual_bytes_metric_maximum;azure_virtual_bytes_metric_minimum;azure_virtual_bytes_metric_total,Virtual bytes.,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_serverresourcetype,average
