Name,Description,Unit,DataType,Attributes,Default Aggregation
azure_cassandratableupdate_average;azure_cassandratableupdate_count;azure_cassandratableupdate_maximum;azure_cassandratableupdate_minimum;azure_cassandratableupdate_total,Cassandra Table Updated,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_resourcename;metadata_childresourcename;metadata_apikind;metadata_apikindresourcetype;metadata_isthroughputrequest;metadata_operationtype,count
azure_createaccount_average;azure_createaccount_count;azure_createaccount_maximum;azure_createaccount_minimum;azure_createaccount_total,Account Created,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,count
azure_datausage_average;azure_datausage_count;azure_datausage_maximum;azure_datausage_minimum;azure_datausage_total,Total data usage reported at 5 minutes granularity,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_collectionname;metadata_databasename;metadata_region,total
azure_dedicatedgatewayaveragecpuusage_average;azure_dedicatedgatewayaveragecpuusage_count;azure_dedicatedgatewayaveragecpuusage_maximum;azure_dedicatedgatewayaveragecpuusage_minimum;azure_dedicatedgatewayaveragecpuusage_total,Average CPU usage across dedicated gateway instances,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_region;metadata_metrictype,average
azure_dedicatedgatewayaveragememoryusage_average;azure_dedicatedgatewayaveragememoryusage_count;azure_dedicatedgatewayaveragememoryusage_maximum;azure_dedicatedgatewayaveragememoryusage_minimum;azure_dedicatedgatewayaveragememoryusage_total,"Average memory usage across dedicated gateway instances, which is used for both routing requests and caching data",Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_region,average
azure_dedicatedgatewaycpuusage_average;azure_dedicatedgatewaycpuusage_count;azure_dedicatedgatewaycpuusage_maximum;azure_dedicatedgatewaycpuusage_minimum;azure_dedicatedgatewaycpuusage_total,CPU usage across dedicated gateway instances,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_region;metadata_applicationtype,average
azure_dedicatedgatewaymaximumcpuusage_average;azure_dedicatedgatewaymaximumcpuusage_count;azure_dedicatedgatewaymaximumcpuusage_maximum;azure_dedicatedgatewaymaximumcpuusage_minimum;azure_dedicatedgatewaymaximumcpuusage_total,Average Maximum CPU usage across dedicated gateway instances,Percent,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_region;metadata_metrictype,average
azure_dedicatedgatewaymemoryusage_average;azure_dedicatedgatewaymemoryusage_count;azure_dedicatedgatewaymemoryusage_maximum;azure_dedicatedgatewaymemoryusage_minimum;azure_dedicatedgatewaymemoryusage_total,Memory usage across dedicated gateway instances,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_region;metadata_applicationtype,average
azure_dedicatedgatewayrequests_average;azure_dedicatedgatewayrequests_count;azure_dedicatedgatewayrequests_maximum;azure_dedicatedgatewayrequests_minimum;azure_dedicatedgatewayrequests_total,Requests at the dedicated gateway,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_databasename;metadata_collectionname;metadata_cacheexercised;metadata_operationname;metadata_region;metadata_cachehit,count
azure_deleteaccount_average;azure_deleteaccount_count;azure_deleteaccount_maximum;azure_deleteaccount_minimum;azure_deleteaccount_total,Account Deleted,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location,count
azure_documentcount_average;azure_documentcount_count;azure_documentcount_maximum;azure_documentcount_minimum;azure_documentcount_total,"Total document count reported at 5 minutes, 1 hour and 1 day granularity",Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_collectionname;metadata_databasename;metadata_region,total
azure_documentquota_average;azure_documentquota_count;azure_documentquota_maximum;azure_documentquota_minimum;azure_documentquota_total,Total storage quota reported at 5 minutes granularity,Bytes,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_collectionname;metadata_databasename;metadata_region,total
azure_gremlindatabasecreate_average;azure_gremlindatabasecreate_count;azure_gremlindatabasecreate_maximum;azure_gremlindatabasecreate_minimum;azure_gremlindatabasecreate_total,Gremlin Database Created,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_resourcename;metadata_apikind;metadata_apikindresourcetype;metadata_isthroughputrequest;metadata_operationtype,count
azure_gremlindatabasedelete_average;azure_gremlindatabasedelete_count;azure_gremlindatabasedelete_maximum;azure_gremlindatabasedelete_minimum;azure_gremlindatabasedelete_total,Gremlin Database Deleted,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_resourcename;metadata_apikind;metadata_apikindresourcetype;metadata_operationtype,count
azure_gremlindatabasethroughputupdate_average;azure_gremlindatabasethroughputupdate_count;azure_gremlindatabasethroughputupdate_maximum;azure_gremlindatabasethroughputupdate_minimum;azure_gremlindatabasethroughputupdate_total,Gremlin Database Throughput Updated,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_resourcename;metadata_apikind;metadata_apikindresourcetype;metadata_isthroughputrequest,count
azure_gremlindatabaseupdate_average;azure_gremlindatabaseupdate_count;azure_gremlindatabaseupdate_maximum;azure_gremlindatabaseupdate_minimum;azure_gremlindatabaseupdate_total,Gremlin Database Updated,Count,Gauge,azuremonitor.subscription_id;azuremonitor.tenant_id;azuremonitor.resource_id;location;metadata_resourcename;metadata_apikind;metadata_apikindresourcetype;metadata_isthroughputrequest;metadata_operationtype,count
